Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
6.518471821,-3.538386583,17.97966957,-3.76361084,18.70704317,18.707043165933623
6.520977863,-4.067499161,17.30937958,-4.419543266,18.32188673,18.321886735522156
6.523483904,-4.354937077,17.28066635,-4.910371304,18.48509272,18.485092717857768
6.525989946,-4.29750967,17.53430557,-5.324329376,18.82203349,18.822033484456803
6.528495988,-3.80907464,17.92702675,-5.947061539,19.26797547,19.267975468558177
6.531002029,-2.978166819,18.51117516,-6.607779503,19.87953302,19.879533026866113
6.533508071,-1.960619092,19.23410606,-6.971488953,20.5522875,20.552287497333346
6.536014113,-0.9936196208,19.93101692,-6.851847649,21.09930169,21.09930168563102
6.538520154,-0.2033899277,20.2803688,-6.143272877,21.19137862,21.191378618862608
6.541026196,0.4453641176,20.02433586,-5.044369221,20.654734,20.654734001412358
6.543532238,1.261615753,19.59811401,-4.010071754,20.04391236,20.043912355860186
6.546038279,2.228914261,19.29392624,-3.356531858,19.71014852,19.71014851925826
6.548544321,3.002095222,19.08335876,-3.16032052,19.57485079,19.574850780375236
6.551050363,3.332603693,18.57338905,-3.083451033,19.12026931,19.12026930903866
6.553556404,2.951845884,16.25833321,-2.813062191,16.7618648,16.76186480618163
6.556062446,1.927119493,11.43171024,-2.023131609,11.76821355,11.768213545774753
6.558568488,1.520339727,6.490531445,-1.242473125,6.781015469,6.781015468967424
6.561074529,2.274377823,3.028416157,-1.898405671,4.23651307,4.23651307013419
6.563580571,3.995714664,1.812264085,-3.694219112,5.735616065,5.7356160643257486
6.566086613,6.404090881,3.028416157,-4.711467743,8.507738403,8.507738402502484
6.568592654,8.858229637,5.784050465,-4.697110653,11.57524603,11.57524602632782
6.571098696,10.87627602,9.090332985,-4.395615101,14.84078724,14.840787241839474
6.573604738,12.40857983,12.38465214,-4.240081787,18.03692755,18.036927553958257
6.576110779,13.43091393,15.47797298,-4.345366001,20.94849165,20.9484916461144
6.578616821,14.03420353,18.28864288,-4.766502857,23.54045192,23.540451920033913
6.581122863,14.15863037,20.69462585,-5.520840168,25.67516367,25.675163664256882
6.583628904,13.6103754,22.3130703,-6.555137634,26.94596916,26.945969163167067
6.586134946,12.19561863,22.53321075,-8.036892891,26.85275308,26.852753076988677
6.588640988,10.24427223,21.60180473,-9.614660263,25.76867814,25.768678140104722
6.591147029,8.333902359,20.24686813,-10.73988533,24.38718382,24.38718381659729
6.593653071,6.416054726,18.50878143,-11.69043446,22.81243096,22.81243095625925
6.596159113,4.203890324,16.31336784,-12.29611778,20.85649004,20.856490035454172
6.598665154,1.802692771,14.22802258,-12.05892849,18.73777158,18.73777158817289
6.601171196,-0.5721837282,12.46361542,-11.12782192,16.71817945,16.718179453508423
6.603677238,-2.772384167,11.0440731,-9.88534832,15.0790509,15.079050899022217
6.606183279,-4.601397991,10.06959629,-8.422436714,13.91068198,13.91068197884258
6.608689321,-5.990132332,9.406484604,-6.792026997,13.05738368,13.05738368464899
6.611195363,-6.856633186,8.982656479,-5.288437366,12.4767426,12.476742597376216
6.613701404,-7.038786888,8.721838951,-4.199104786,11.96860378,11.968603784304566
6.616207446,-6.461817741,8.417651176,-3.629313707,11.21534029,11.215340290090827
6.618713488,-5.314758301,8.075178146,-3.430709362,10.25792009,10.257920092016649
6.621219529,-3.833002806,7.792825222,-3.394817114,9.324420555,9.324420555131054
6.623725571,-2.224128723,7.632505894,-3.519243956,8.694076881,8.694076881432604
6.626231613,-0.5602195859,7.627720356,-3.816252947,8.547499656,8.547499655995836
