Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
6.450346358,4.031607151,8.546863556,-2.619243383,9.806282107,9.806282107111981
6.452852348,4.548755646,8.298009872,-2.753241539,9.855378468,9.855378467359913
6.455358338,4.836193562,8.051250458,-3.253640652,9.939697158,9.93969715831033
6.457864327,4.979763031,7.967501163,-3.813860178,10.14024872,10.140248719072666
6.460370317,4.998905659,8.058428764,-4.366901398,10.44017048,10.44017048481006
6.462876306,4.886443138,8.262117386,-4.754538536,10.71193479,10.711934789348737
6.465382296,4.692325115,8.58754158,-4.845765114,10.9199462,10.919946195524412
6.467888285,4.479363918,8.956335068,-4.548755646,10.99871887,10.998718874813727
6.470394275,4.244867325,9.221938133,-3.868895054,10.86422526,10.864225258829912
6.472900265,4.041178226,9.468698502,-2.956631422,10.71116437,10.711164369088511
6.475406254,3.835395575,9.657731056,-1.999203324,10.58200559,10.582005589558584
6.477912244,3.670290947,9.847063065,-1.156331539,10.5722651,10.572265096458917
6.480418233,3.636492252,10.01934624,-0.7061817646,10.6822314,10.682231398940568
6.482924171,3.672683716,10.12941647,-0.7444669604,10.80036641,10.800366417654823
6.485430108,3.80907464,10.0767746,-1.230509043,10.84272053,10.842720528409881
6.48793615,3.957429647,9.851848602,-2.003988981,10.80445011,10.804450107416542
6.49044214,4.206283092,9.633803368,-3.047558784,10.94488919,10.9448891874367
6.492948129,4.673182487,9.473484039,-4.167997837,11.35595616,11.355956162438634
6.495454119,5.283651352,9.411270142,-5.027619362,11.90655003,11.906550035352366
6.497960108,5.906383514,9.416056633,-5.422734261,12.36743852,12.367438522011641
6.500466098,6.610172749,9.475876808,-5.144867897,12.64738276,12.647382762041945
6.502972088,7.251748085,9.363413811,-4.692325115,12.73888863,12.738888627709501
6.505478077,7.685148239,9.317950249,-4.299902439,12.820876,12.820875995155797
6.507984067,8.005785942,9.411270142,-3.768396616,12.91764016,12.91764015949917
6.510490056,8.30279541,9.605089188,-3.397209883,13.14287582,13.14287582376492
6.512996046,8.522934914,9.856635094,-3.157927752,13.40769117,13.407691173777996
6.515502035,8.625826836,10.11745262,-3.030808926,13.63647824,13.636478242879424
6.518008025,8.534899712,10.28255749,-3.076272726,13.71272969,13.71272968864275
6.520514015,8.264510155,10.37587738,-3.181855917,13.6413037,13.641303698086988
