Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
4.356509443,-7.467102051,9.064012527,2.484946251,12.00370335,12.003703345218936
4.359015589,-7.474280834,9.226723671,2.482553482,12.13096762,12.130967623297071
4.361521682,-7.495816231,9.418449402,2.434697151,12.28096903,12.28096903033489
4.364027776,-7.491030216,9.617053032,2.336591244,12.41220776,12.412207755224808
4.36653387,-7.502994537,9.774979591,2.24566412,12.5255004,12.52550040383911
4.369040016,-7.498209,9.99302578,2.123630047,12.67254935,12.672549349832764
4.371546109,-7.500601768,10.17248726,1.965703845,12.7907199,12.79071989933463
4.374052203,-7.486244678,10.38066292,1.785943031,12.92252354,12.922523536350155
4.376558297,-7.479066372,10.55085278,1.592124343,13.0304178,13.030417802418622
4.379064443,-7.459923744,10.74945641,1.39561379,13.15860985,13.158609851637948
4.381570536,-7.46949482,10.90977573,1.180259824,13.27439538,13.274395375950363
4.38407663,-7.450352192,11.06560802,0.9912267923,13.37676939,13.376769385427146
4.386582724,-7.424031258,11.18046379,0.7995018363,13.44463513,13.44463513322356
4.38908887,-7.400103092,11.30967617,0.5937191248,13.52859206,13.528592064278053
4.391594964,-7.342675209,11.40538883,0.4190430641,13.57104899,13.571048989592597
4.394101057,-7.299604416,11.48435211,0.2727817893,13.61062004,13.610620041758636
4.396607151,-7.266105175,11.55165005,0.1339980662,13.64752207,13.647522074485613
4.399113297,-7.208677292,11.62582779,0.0382851623,13.67941394,13.679413944193117
4.401619391,-7.146463871,11.67846966,-0.004785645287,13.69155295,13.691552956529424
4.404125484,-7.067500591,11.73350525,-0.03110669367,13.69765227,13.69765226898223
4.406631578,-6.993024349,11.81007481,-0.04067798331,13.725229,13.725229005806408
4.409137724,-6.897311211,11.85075283,-0.0382851623,13.71184562,13.711845620950944
4.411643818,-6.794419765,11.89861012,-0.02871387079,13.70189356,13.70189356319647
4.414149911,-6.669992924,11.93928814,-0.03349951655,13.6761299,13.676129902635608
4.416656005,-6.531209469,11.98235893,-0.04546362907,13.64681976,13.646819761280435
4.419162151,-6.372983932,11.98953724,-0.05503492057,13.57817942,13.578179416599236
4.421668245,-6.207879066,11.97039413,-0.1124626622,13.48483393,13.48483392467288
4.424174339,-5.997310638,11.91775227,-0.1674975902,13.3427362,13.342736207408167
4.426680432,-5.786443233,11.84836006,-0.2560320199,13.18833249,13.188332487291513
