Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
6.198884178,-4.747360229,10.70399284,3.59102869,12.24779078,12.247790776914233
6.201390271,-4.60379076,10.66092205,3.687040567,12.18377677,12.18377677326457
6.203896313,-4.457828522,10.6417799,3.789932013,12.14427022,12.14427022240377
6.206402407,-4.323830605,10.63220787,3.861716747,12.11000461,12.110004604692968
6.208908449,-4.151247978,10.65852928,3.921537161,12.09196262,12.091962615414023
6.211414542,-3.993321896,10.67288589,3.959822416,12.06388439,12.063884389046928
6.213920584,-3.847359657,10.71834946,3.986143351,12.06542706,12.065427066279709
6.216426678,-3.696611881,10.78056335,4.007678986,12.08085165,12.080851642038303
6.218932719,-3.567100286,10.85713387,4.000500202,12.10807838,12.108078385428652
6.221438813,-3.411566973,10.94596672,3.957429647,12.12906534,12.129065341466609
6.223944855,-3.270390272,11.04168034,3.902394533,12.15906412,12.159064123242505
6.226451001,-3.145963669,11.14217854,3.830610037,12.19503191,12.195031909735604
6.228957042,-3.018844843,11.23071289,3.732504129,12.21367771,12.213677712987268
6.231463084,-2.899203777,11.33599758,3.614956856,12.24655612,12.246556117745035
6.233969178,-2.765205622,11.43171024,3.526422262,12.27868133,12.278681326314747
6.236475219,-2.64077878,11.51097202,3.428316593,12.2975422,12.297542196388688
6.238981261,-2.542673111,11.59950733,3.318246841,12.32982234,12.329822340404286
6.241487355,-2.446661234,11.65454197,3.208176851,12.33316255,12.333162547852119
6.243993396,-2.324627161,11.69521999,3.119642496,12.32534914,12.325349137245713
6.24649949,-2.243271112,11.74546909,3.016452074,12.33236768,12.332367677815078
6.249005532,-2.161915302,11.75504017,2.944667339,12.30958622,12.30958622004447
6.251511626,-2.049452543,11.76221848,2.882453918,12.28245007,12.282450076701156
6.254017667,-1.960619092,11.75025463,2.820240498,12.24198789,12.241987892507927
6.256523761,-1.862513304,11.71914768,2.791526794,12.19015997,12.190159965925234
6.259029803,-1.817049742,11.66650581,2.767598391,12.12718551,12.127185511631783
6.261535896,-1.75722909,11.60668564,2.734098911,12.05314492,12.053144920544838
6.264041938,-1.678265929,11.52532959,2.743670225,11.96568113,11.965681133563745
6.266548032,-1.637588024,11.43888855,2.75084877,11.87842728,11.878427284412691
6.269054074,-1.59691,11.35035419,2.779562712,11.79434741,11.794347402738795
6.271560167,-1.556231976,11.2570343,2.81545496,11.70766697,11.707666967687882
6.274066209,-1.53230381,11.15174961,2.832204819,11.60736225,11.607362252770544
6.276572303,-1.525125384,11.05364418,2.877668381,11.52345575,11.523455749295701
6.279078344,-1.510768414,10.95314598,2.913560629,11.43427582,11.43427582310262
6.281584438,-1.491625786,10.87866879,2.949453115,11.36968142,11.369681429378899
6.28409048,-1.494018674,10.80688477,2.97577405,11.30823069,11.30823069392255
6.286596574,-1.477268934,10.75663471,3.028416157,11.27203701,11.272037003475322
6.289102615,-1.46769762,10.73509979,3.088535786,11.26656812,11.266568115731353
6.291608709,-1.450947881,10.73509979,3.133999348,11.27694858,11.27694857520867
6.294114751,-1.470090389,10.73509979,3.143570662,11.28209067,11.282090664414788
6.296620844,-1.470090389,10.73509979,3.16032052,11.28676921,11.286769203019137
6.299126886,-1.455733418,10.74706364,3.19382,11.30570753,11.305707534643377
6.30163298,-1.470090389,10.78056335,3.205784082,11.34278465,11.342784643798804
6.304139021,-1.460519075,10.78295612,3.205784082,11.34382256,11.343822558321726
6.306645115,-1.474876046,10.78056335,3.198605776,11.3413793,11.341379299039794
6.309151157,-1.496411443,10.74467087,3.189034462,11.30739316,11.30739316160854
6.311657251,-1.491625786,10.70399284,3.177070379,11.26473198,11.26473197183806
6.314163292,-1.489233017,10.63699436,3.167499065,11.19805851,11.198058506739933
6.316669386,-1.51555407,10.54367352,3.148356438,11.10756965,11.107569657496585
6.319175428,-1.544267893,10.4288187,3.136392355,10.99918087,10.999180869834026
6.321681521,-1.558624864,10.28734303,3.12921381,10.86511468,10.865114686567432
6.324187563,-1.577767372,10.16052341,3.107678413,10.7416596,10.741659600077261
6.326693657,-1.608874083,10.00498962,3.102892876,10.59793552,10.597935521184699
6.329199699,-1.64476645,9.844670296,3.090928555,10.44876209,10.448762091468287
6.331705792,-1.666301847,9.667302132,3.073879719,10.2801765,10.280176500603813
6.334211834,-1.714158297,9.463912964,3.054737091,10.09135303,10.091353028829799
6.336717928,-1.766800404,9.262915611,3.045166016,9.909400857,9.90940085722055
6.339223969,-1.800299883,9.085547447,3.009273529,9.738787361,9.738787360485809
6.341730063,-1.876870275,8.874979019,2.980559587,9.548383637,9.548383636434304
6.344236105,-1.915155411,8.683254242,2.932703257,9.363090989,9.36309098925734
6.346742199,-1.951047778,8.494221687,2.887239695,9.181205943,9.181205942376172
6.34924824,-2.008774519,8.305188179,2.853740215,9.008615819,9.008615818842163
6.351754334,-2.07098794,8.111070633,2.832204819,8.837411499,8.83741149873125
6.354260376,-2.109273195,7.931608677,2.813062191,8.675988042,8.675988042098774
6.356766469,-2.171486616,7.778468132,2.810669184,8.551010576,8.551010575709395
6.359272511,-2.23130703,7.625327587,2.813062191,8.428384825,8.42838482519779
6.361778605,-2.291127682,7.481459141,2.825026274,8.318790199,8.318790199450246
6.364284646,-2.346162558,7.330711365,2.827419043,8.19988453,8.199884530297991
6.36679074,-2.394019127,7.203891754,2.808276415,8.094059575,8.094059575196878
6.369296782,-2.425125837,7.115357399,2.789133787,8.018030527,8.018030526418189
6.371802876,-2.492124796,7.017251492,2.748456001,7.937664322,7.9376643220942
6.374308917,-2.571387053,6.945167542,2.710170746,7.886216395,7.886216395411715
6.376815011,-2.616850615,6.887740135,2.638386011,7.826234858,7.826234857934956
6.379321053,-2.676671267,6.830312252,2.557030201,7.768921288,7.76892128807023
6.381827146,-2.71974206,6.789634228,2.470589399,7.720099857,7.720099856958677
6.384333188,-2.755634308,6.760920525,2.37248373,7.67673406,7.676734060387115
6.386839282,-2.801098108,6.725028038,2.248056889,7.624035185,7.624035184776344
6.389345324,-2.834597588,6.681957245,2.142772675,7.568022915,7.568022915308203
6.391851417,-2.863311291,6.669992924,2.037488461,7.5391456,7.539145600403689
6.394357459,-2.894418001,6.655636311,1.912762642,7.505585333,7.505585333166585
6.396863553,-2.920739174,6.638886452,1.795514345,7.471907548,7.471907548155834
6.399369594,-2.94227457,6.626922131,1.671087503,7.440807081,7.440807081109484
6.401875688,-2.951845884,6.595815659,1.587338686,7.398501364,7.39850136409189
6.40438173,-2.956631422,6.569494724,1.486840129,7.355992378,7.355992377879841
6.406887824,-2.978166819,6.540780544,1.4054842,7.323023526,7.323023526045178
6.409393865,-2.987738132,6.533602238,1.323829174,7.305276246,7.305276246093571
6.411899959,-2.992523909,6.516852379,1.259222865,7.280810841,7.280810840789192
6.414406001,-3.002095222,6.502495766,1.199402332,7.261789921,7.261789921418148
6.416912094,-3.026023388,6.483353138,1.151545882,7.246843684,7.246843683638319
6.419418136,-3.018844843,6.46421051,1.098903775,7.218520015,7.2185200152393705
6.42192423,-3.030808926,6.425626278,1.05822587,7.182918474,7.182918473878335
6.424430271,-3.042773008,6.413661957,1.02711916,7.172761047,7.1727610475828305
6.426936365,-3.073879719,6.394519329,0.9960124493,7.164541491,7.164541490911663
6.429442407,-3.107678413,6.380162239,1.000798106,7.166989059,7.166989058423409
6.431948501,-3.117249727,6.370591164,1.034297585,7.167387888,7.167387887763106
6.434454542,-3.126821041,6.363412857,1.079761267,7.171883811,7.171883811439409
6.436960636,-3.143570662,6.349055767,1.12283206,7.17309539,7.173095390027023
6.439466678,-3.157927752,6.339484692,1.144367456,7.174339741,7.174339741140367
6.441972771,-3.172284603,6.349055767,1.194616675,7.197291695,7.1972916944566645
6.444478813,-3.179463148,6.34187746,1.254437327,7.204304869,7.20430486823795
6.446984907,-3.191427231,6.308377743,1.304686546,7.18909205,7.189092049936454
6.449490949,-3.200998545,6.34187746,1.340578914,7.229312086,7.229312085351523
6.451997042,-3.227319479,6.332305908,1.376471281,7.239362011,7.2393620105256735
6.454503084,-3.232105255,6.329913139,1.390828133,7.242147998,7.24214799781306
6.457009178,-3.236890793,6.329913139,1.410269856,7.248042731,7.2480427302710675
6.459515219,-3.244069338,6.322734833,1.427019596,7.248265073,7.248265072798546
6.462021313,-3.239283562,6.310770512,1.460519075,7.242368288,7.242368287971209
6.464527355,-3.251247883,6.298806667,1.496411443,7.244641153,7.244641152720884
6.467033449,-3.296711445,6.296413898,1.537089467,7.271573307,7.271573306794334
6.46953949,-3.313461065,6.267699718,1.594517231,7.266744057,7.266744056607754
6.472045584,-3.318246841,6.270092487,1.632802367,7.2794825,7.279482499671328
6.474551626,-3.342175007,6.272485256,1.678265929,7.302792726,7.302792725567054
6.477057719,-3.356531858,6.267699718,1.733300924,7.31810754,7.318107539652958
