Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
9.773821665,8.989834785,4.759324074,-7.522137165,12.65112021,
9.776327707,9.516554832,4.551148891,-7.414460182,12.8938742,
9.778833748,10.08634567,4.278367043,-7.120142937,13.06656914,
9.78133979,10.70877838,4.014857292,-6.631708145,13.22030886,
9.783845884,11.37906837,3.806681633,-6.116951942,13.46815218,
9.786351925,12.04696465,3.64127779,-5.595017433,13.77288936,
9.788857967,12.67687511,3.49531579,-5.152046204,14.12317157,
9.791364009,13.17697525,3.344567776,-4.768895626,14.40698358,
9.79387005,13.56251907,3.16032052,-4.436293125,14.61541125,
9.796376092,13.78774357,2.863311291,-4.16081953,14.68376122,
9.798882134,13.86192036,2.511267424,-3.921537161,14.62319232,
9.801388175,13.79970741,2.202593327,-3.799503326,14.48169768,
9.803894217,13.60558987,1.970489502,-3.799503326,14.26292852,
9.806400259,13.31605816,1.800299883,-3.806681633,13.9660055,
9.8089063,12.96879959,1.639980793,-3.847359657,13.62649904,
9.811412342,12.55693531,1.438983679,-3.892823458,13.22502828,
9.813918384,12.08794212,1.180259824,-3.87368083,12.7482062,
9.816424425,11.60429287,1.007976532,-3.782753468,12.24683034,
9.818930467,11.19242764,0.97926265,-3.636492252,11.80904177,
9.821436509,10.82602692,1.132403374,-3.442673683,11.4165318,
9.82394255,10.54845905,1.412662625,-3.203391314,11.1142845,
9.826448592,10.30887794,1.699801445,-2.954238653,10.85770765,
9.828954686,10.12223816,1.934298038,-2.714956284,10.65702594,
9.831460727,9.990633011,2.13559413,-2.523231506,10.52331732,
9.833966769,9.899705887,2.317448616,-2.413161755,10.4497892,
9.836472759,9.847063065,2.43708992,-2.470589399,10.44068342,
9.838978852,9.772586823,2.458625317,-2.726920605,10.43955879,
9.841484894,9.717552185,2.446661234,-3.117249727,10.4944851,
9.843990936,9.612267494,2.492124796,-3.619742393,10.56924346,
9.846496977,9.408877373,2.57617259,-4.17517662,10.61111391,
9.849003019,9.054440498,2.726920605,-4.718646049,10.56809393,
9.851509061,8.563612938,2.992523909,-5.207081318,10.459654,
9.854015102,7.91007328,3.346960783,-5.647659779,10.27946821,
9.856521144,7.189534664,3.854538202,-5.990132332,10.12069952,
9.859027186,6.492924213,4.517649174,-6.167201042,10.03003428,
9.861533227,5.935097694,5.353342533,-6.267699718,10.15715121,
9.864039269,5.58066082,6.246164322,-6.320342064,10.49309619,
9.866545311,5.446662426,7.156035423,-6.363412857,11.01671447,
9.869051352,5.58066082,8.08953476,-6.370591164,11.7119076,
9.871557394,5.93031168,9.008976936,-6.344270229,12.51319411,
9.874063436,6.425626278,9.837491989,-6.310770512,13.33756897,
9.876569477,7.029215813,10.53649521,-6.31316328,14.15216015,
9.879075519,7.680362701,11.06082249,-6.372983932,14.89780821,
9.881581561,8.362615585,11.42692471,-6.361020088,15.52322532,
9.884087654,9.090332985,11.67607689,-6.339484692,16.09826051,
9.886593696,9.875777245,11.8148613,-6.457031727,16.6977598,
9.889099738,10.69681454,11.83161068,-6.7202425,17.30810538,
9.891605779,11.44606686,11.72871971,-7.03400135,17.83402612,
9.894111821,12.04457188,11.51575851,-7.254140854,18.1743491,
9.896617863,12.46840096,11.21874905,-7.258926392,18.27603253,
9.899123904,12.78455257,10.81645584,-7.031608582,18.16270962,
9.901629946,13.01904869,10.3471632,-6.545566559,17.87187334,
9.904135988,13.11236858,9.703194618,-5.779264927,17.30566667,
