Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
9.670544692,5.1735816,8.925228119,-4.510470867,11.25921805,
9.673050681,5.889334679,9.006584167,-4.934299469,11.83850213,
9.675556671,6.643671989,9.193224907,-4.96779871,12.38276164,
9.67806266,7.385746002,9.449555397,-4.989334106,12.98987283,
9.68056865,8.012965202,9.823135376,-5.008476734,13.63034993,
9.68307464,8.278866768,9.9643116,-4.721039295,13.7882324,
9.685580629,8.108677864,9.847063065,-3.911965847,13.34236802,
9.688086671,7.828717709,9.774979591,-3.454637766,12.9912882,
9.69059266,7.464709282,9.681659698,-3.085843801,12.60868158,
9.69309865,7.120142937,9.676874161,-2.772384167,12.32981926,
9.69560464,6.837490559,9.815657616,-2.57617259,12.23662849,
9.698110629,6.684350014,9.976275444,-2.607279301,12.28838932,
9.700616619,6.492924213,10.11984539,-2.801098108,12.3456667,
9.703122608,6.258128643,10.1964159,-3.037987471,12.34343709,
9.705628598,5.855835438,10.16052341,-3.296711445,12.18176305,
9.708134588,5.321936607,10.03609657,-3.502494097,11.88754426,
9.710640577,4.68275404,9.8638134,-3.5766716,11.4898033,
9.713146567,3.990929127,9.691230774,-3.636492252,11.09376154,
9.715652556,3.356531858,9.495018959,-3.775574923,10.75530832,
9.718158546,2.679064035,9.274879456,-3.751646757,10.35739477,
9.720664535,2.044667006,9.056833267,-3.66789794,9.983003921,
9.723170577,1.613659739,8.891729355,-3.622135162,9.735841608,
9.725676567,1.398006678,8.798408508,-3.725325823,9.656317488,
9.728182556,1.366899967,8.803194046,-3.868895054,9.712517175,
9.730688546,1.455733418,8.846264839,-3.96939373,9.804674802,
9.733194535,1.601695657,8.896514893,-4.230510235,9.980512164,
9.735700525,1.80508554,8.910871506,-4.472185612,10.132246,
9.738206515,2.013560295,8.946763992,-4.661218643,10.28717504,
9.740712504,2.23130703,8.997013092,-4.891228676,10.48089183,
9.743218494,2.389233351,9.023334503,-5.0324049,10.60443778,
9.745724483,2.472982168,9.035298347,-5.025226593,10.63038849,
9.748230473,2.506481647,9.052047729,-4.888835907,10.58880233,
9.750736463,2.51844573,9.037691116,-4.651647091,10.47187902,
9.753242452,2.508874655,9.073583603,-4.388436794,10.38666207,
9.755748494,2.477767944,9.116654396,-4.208974838,10.34254275,
9.758254483,2.45383954,9.282057762,-4.139284134,10.45521869,
9.760760473,2.39162612,9.39452076,-4.228117466,10.57609914,
9.763266463,2.169093609,9.212367058,-3.888037682,10.23178923,
9.765772452,1.97527504,9.049654961,-3.751646757,9.993638966,
9.768278442,1.905584097,8.946763992,-3.813860178,9.910669308,
9.770784431,1.888834357,8.934800148,-3.806681633,9.893895793,
9.773290421,1.917548299,8.939585686,-3.634099483,9.838692127,
9.77579641,1.919941068,8.925228119,-3.36849618,9.731014191,
9.7783024,1.951047778,9.013762474,-3.394817114,9.827476004,
9.78080839,1.965703845,9.224330902,-3.607778311,10.09793724,
9.783314379,1.903191328,9.41366291,-3.696611881,10.29097304,
9.785820421,1.754836321,9.554840088,-3.730111361,10.40615925,
9.78832641,1.424626827,9.375378609,-3.421138287,10.08124362,
9.7908324,1.165902853,9.12861824,-3.061915636,9.698779707,
9.79333839,1.125224829,9.061619759,-3.165106058,9.664211293,
9.795844379,1.259222865,9.217152596,-3.258426189,9.856920687,
9.798350369,1.474876046,9.447162628,-3.114856958,10.05616602,
9.800856358,1.673480392,9.698409081,-2.961417198,10.27762945,
9.803362348,1.785943031,9.882955551,-2.994916677,10.48007294,
9.805868338,1.754836321,9.957133293,-2.999702215,10.54619208,
9.808374327,1.592124343,9.99302578,-2.930310488,10.5348063,
9.810880317,1.287936807,9.954740524,-2.743670225,10.40592939,
9.813386358,0.9122636318,9.825528145,-2.429911375,10.16256353,
9.815892348,0.5578267574,9.715159416,-2.271985054,9.99286792,
9.818398338,0.1770688742,9.607481956,-2.147558212,9.846170281,
9.820904327,-0.1938186288,9.57158947,-2.106880426,9.802644326,
9.823410317,-0.5769693851,9.562018394,-2.26241374,9.842946987,
9.825916306,-0.9194421172,9.497411728,-2.417947292,9.843407563,
9.828422296,-1.213759303,9.382556915,-2.549851656,9.79833299,
9.830928285,-1.431805253,9.361021042,-2.762812853,9.864680232,
9.833434275,-1.561017632,9.368199348,-2.987738132,9.95622992,
9.835940265,-1.651944876,9.145368576,-2.695813894,9.676471507,
9.838446254,-1.604088426,8.910871506,-2.370090723,9.359169873,
9.840952244,-1.359721422,8.836693764,-2.410768747,9.260011068,
9.843458285,-1.029511929,8.898907661,-2.619243383,9.333321396,
9.845964275,-0.6439684033,9.056833267,-2.868097067,9.521917082,
9.848470265,-0.3113660514,9.26530838,-3.215355396,9.812308522,
9.850976254,-0.1124626622,9.2362957,-3.174677372,9.76731194,
9.853482244,0.002392822644,8.968298912,-2.920739174,9.431919657,
9.855988233,0.1818545163,8.762516975,-2.820240498,9.206982745,
9.858494223,0.4022932947,8.72423172,-3.037987471,9.246806307,
9.861000213,0.608076036,8.721838951,-2.932703257,9.221766617,
9.863506202,0.8668000102,8.654540062,-2.695813894,9.106031984,
9.866012192,1.082154036,8.286046028,-2.252842426,8.65476257,
9.868518181,1.41984117,8.185546875,-2.40598321,8.649154976,
9.871024171,1.793121457,8.379365921,-3.167499065,9.135759855,
9.873530213,2.10209465,8.793622971,-3.770789385,9.796196173,
9.876036202,2.240878344,8.831908226,-3.392424345,9.722791862,
9.878542192,2.271985054,8.760123253,-2.702992201,9.44499033,
9.881048181,2.346162558,9.018548965,-2.937488794,9.770749439,
9.883554171,2.305484533,9.497411728,-3.253640652,10.30059542,
9.88606016,2.130808592,9.88534832,-2.851347208,10.50669489,
9.88856615,1.776371717,9.947562218,-2.097309113,10.32028081,
9.89107214,1.381256819,9.847063065,-1.587338686,10.06936768,
9.893578129,1.070189953,9.832706451,-1.93190515,10.07768228,
9.896084119,0.7923234105,9.916455269,-2.664707184,10.29876332,
9.898590108,0.5291129351,10.00020409,-2.868097067,10.41681444,
9.901096098,0.3113660514,10.14138031,-2.927917719,10.56017261,
9.90360214,0.1220339537,10.13898754,-2.714956284,10.49690184,
9.906108129,-0.03349951655,10.16770172,-2.813062191,10.54972035,
9.908614119,-0.2153540403,10.24905777,-2.982952595,10.67649609,
9.911120108,-0.3807578981,10.50778198,-3.133999348,10.9718007,
9.913626098,-0.5865406394,10.7614212,-3.265604734,11.26127837,
9.916132088,-0.7707880139,10.95793152,-3.212962627,11.44523945,
9.918638077,-0.9457631707,11.05125141,-3.141177893,11.52786295,
9.921144067,-1.01036942,11.14935684,-3.205784082,11.64500133,
9.923650056,-0.9409775138,11.35992527,-3.622135162,11.96048511,
9.926156046,-0.8282157183,11.49153042,-3.785146236,12.12718206,
9.928662035,-0.7229315639,11.55882931,-3.36849618,12.06134037,
9.931168077,-0.6678966284,11.6019001,-3.073879719,12.02076987,
9.933674067,-0.5769693851,11.5899353,-2.856132984,11.95060624,
9.936180056,-0.5003990531,11.52532959,-2.779562712,11.86632168,
9.938686046,-0.4908277392,11.47717381,-2.616850615,11.78194965,
9.941192035,-0.5458626747,11.43171024,-2.403590441,11.69440944,
9.943698025,-0.6200401783,11.48195934,-2.441875458,11.75510935,
9.946204015,-0.6535396576,11.43410301,-2.32701993,11.68678089,
9.948710004,-0.6750751138,11.47717381,-2.288734913,11.7226086,
9.951215994,-0.6870391965,11.36949635,-2.032702923,11.57019236,
9.953721983,-0.684646368,11.26660538,-1.766800404,11.42482915,
9.956227973,-0.6511468887,11.31924725,-1.747657895,11.47186378,
9.958733963,-0.5913262963,11.39821053,-1.599302888,11.52504402,
9.961240004,-0.4812564552,11.52532959,-1.482054472,11.63018983,
9.963745994,-0.3592225015,11.8148613,-1.599302888,11.92802406,
9.966251983,-0.2440679073,12.08315659,-1.886441588,12.2319624,
9.968757973,-0.1196411327,12.32961655,-2.13559413,12.51377323,
9.971263963,-0.01196411345,12.58564854,-2.075773716,12.75568613,
9.973769952,0.0382851623,12.78694534,-1.893620014,12.9264548,
9.976275942,0.009571290575,12.9759779,-1.872084618,13.11033161,
9.978781931,-0.05503492057,13.13151169,-1.90079844,13.26848382,
9.981287921,-0.1914258152,13.2203455,-1.860120535,13.35193721,
9.98379391,-0.4022932947,13.30409431,-1.85294199,13.43853264,
9.9862999,-0.6463612318,13.36630726,-1.80508554,13.50312136,
9.988805942,-0.8452646136,13.49551964,-1.958226204,13.66302208,
9.991311931,-1.108475089,13.59362507,-2.183450699,13.8124153,
9.993817921,-1.357328653,13.63430309,-2.336591244,13.89950433,
9.99632391,-1.527518153,13.81167126,-2.408375978,14.10304398,
9.9988299,-1.623231053,14.19452286,-2.528316259,14.50902276,
10.00133589,-1.735693693,14.55613804,-2.482553482,14.867981,
