Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
8.96765403,9.12861824,-0.6535396576,-2.035095692,9.375521294,
8.970160071,9.05922699,-0.7683951855,-1.994417667,9.307938904,
8.972666113,8.992227554,-0.8428717852,-1.955833435,9.240988782,
8.975172155,8.997013092,-0.9242277741,-1.958226204,9.253923029,
8.977678196,9.004191399,-1.000798106,-1.955833435,9.268351742,
8.980184238,9.008976936,-1.084546804,-1.98963201,9.28959325,
8.982689945,9.025727272,-1.134796143,-2.025524378,9.319563513,
8.985195934,9.054440498,-1.173081279,-2.039881229,9.355219284,
8.987701976,9.03051281,-1.189831018,-2.013560295,9.328466354,
8.990208018,9.023334503,-1.204187989,-2.008774519,9.322328536,
8.992714059,9.018548965,-1.206580877,-2.042274237,9.325285353,
8.995220101,8.975478172,-1.223330617,-2.082952023,9.294860695,
8.997726143,8.870193481,-1.244866014,-2.049452543,9.188595079,
9.000232184,8.793622971,-1.28315115,-2.066202402,9.123786176,
9.002738226,8.731410027,-1.311864972,-2.073380709,9.06958755,
9.005244215,8.707481384,-1.307079315,-2.037488461,9.037701457,
9.007750257,8.690432549,-1.326221943,-1.994417667,9.014443097,
9.010256299,8.71705246,-1.309472203,-2.00638175,9.040314639,
9.01276234,8.755337715,-1.278365493,-2.003988981,9.07227252,
9.015268382,8.827122688,-1.199402332,-2.00638175,9.131387005,
9.017774424,8.898907661,-1.094118118,-2.018345833,9.190286825,
9.020280465,8.989834785,-0.9912267923,-2.128415823,9.291383855,
9.022786455,9.111868858,-0.8258228898,-2.224128723,9.415672367,
9.025292497,9.270093918,-0.6487540603,-2.27677083,9.567612476,
9.027798538,9.308379173,-0.4549354017,-2.228914261,9.582324762,
9.03030458,9.310771942,-0.2703889608,-2.07098794,9.542147316,
9.032810622,9.29402256,-0.1052841991,-1.97527504,9.502191936,
9.035316663,9.341878891,0.1052841991,-1.972882271,9.548510378,
9.037822705,9.396913528,0.3520440459,-2.032702923,9.620696443,
9.040328747,9.377771378,0.579362154,-2.056631088,9.618107296,
9.042834736,9.291629791,0.8018946648,-2.00638175,9.539548572,
9.045340778,9.37298584,1.084546804,-1.898405671,9.624606455,
9.04784682,9.569196701,1.393221021,-1.819442511,9.839764294,
9.050352861,9.798908234,1.66151619,-1.62801671,10.07123016,
9.052858903,10.03848934,1.893620014,-1.386042476,10.30913084,
9.055364945,10.14855862,2.13559413,-1.113260746,10.43040525,
9.057870986,10.27298546,2.329412937,-0.9481559992,10.57636018,
9.060376976,10.2969141,2.525923491,-0.8234301209,10.63413215,
9.062883018,10.34477043,2.791526794,-0.8090731502,10.74530114,
9.065389059,10.32802105,3.081058264,-0.8931210637,10.81474013,
9.067895101,10.32084274,3.425923824,-1.113260746,10.9314271,
9.070401143,10.10070229,3.797110319,-1.443769336,10.88699698,
9.072907184,9.779765129,4.213760853,-1.845763564,10.80770233,
9.075413226,9.349057198,4.685146809,-2.324627161,10.71257964,
9.077919268,8.848658562,5.147260666,-2.805883646,10.61442574,
9.080425257,8.087141991,5.671587944,-2.822633505,10.27307331,
9.082931299,7.287640572,6.253343105,-2.669492722,9.966955226,
9.08543734,6.401698112,6.969096184,-2.207378864,9.71712724,
9.087943382,5.420341492,7.740182877,-1.529910922,9.572416637,
9.090449424,4.220939159,8.405686378,-0.8476574421,9.444067663,
9.092955465,3.002095222,9.071190834,-0.2994019389,9.559744787,
9.095461507,1.874477386,9.751050949,0.1698904037,9.931038356,
9.097967549,0.6990033388,10.30648518,0.5386841893,10.34419755,
9.100473538,-0.4070789516,10.7614212,0.8452646136,10.80223921,
9.10297958,-1.539482236,11.06560802,1.2352947,11.24026866,
9.105485622,-2.75084877,11.18046379,1.855334878,11.66242715,
9.107991663,-3.928715706,11.13500023,2.717349291,12.11639486,
9.110497705,-5.077868938,10.86431217,3.852145433,12.59591427,
9.113003747,-6.109773636,10.45274639,4.979763031,13.09149651,
9.115509788,-7.03400135,9.954740524,5.892026424,13.53846407,
9.118015778,-7.843074322,9.317950249,6.614958286,13.85985876,
9.12052182,-8.621041298,8.577970505,7.101000309,14.08290227,
9.123027861,-9.305986404,7.795217991,7.225427151,14.1270522,
9.125533903,-9.705587387,7.067500591,6.997809887,13.8966663,
9.128039945,-9.894919395,6.382555485,6.533602238,13.46604629,
9.130545986,-9.880562782,5.762515068,5.903990746,12.87203199,
9.133052028,-9.796515465,5.199902534,5.348556995,12.31331651,
9.13555807,-9.712766647,4.754538536,4.963013172,11.89852816,
9.138064059,-9.669695854,4.503292084,4.706682205,11.65913869,
9.140570101,-9.633803368,4.469792843,4.431507587,11.50771371,
9.143076143,-9.605089188,4.675575256,3.990929127,11.4037826,
9.145582184,-9.514162064,5.132903576,3.3852458,11.32810081,
9.148088226,-9.404091835,5.731408596,3.00688076,11.41609914,
9.150594268,-9.370592117,6.430411816,3.215355396,11.81087224,
9.153100309,-9.490233421,7.165606499,4.09860611,12.57811667,
9.155606299,-9.746265411,7.914859295,5.384449005,13.6611485,
9.15811234,-10.15334511,8.649754524,6.567101955,14.86726264,
9.160618382,-10.63460159,9.29402256,7.208677292,15.85681666,
9.163124424,-11.09910774,9.803693771,7.089035988,16.41819221,
9.165630465,-11.54447174,10.09591675,6.219843388,16.54958654,
