Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
6.531811266,-39.3421936,4.951049328,-3.957429647,39.84949606,
6.534317359,-38.56661987,5.336592674,-4.077070713,39.14697811,
6.536823505,-37.37918091,5.55194664,-4.110570431,38.01215682,
6.539329599,-35.93540955,5.561518192,-4.024428368,36.58524522,
6.541835693,-34.39353561,5.446662426,-3.844966888,35.03377219,
6.544341839,-32.78705597,5.250152111,-3.651148319,33.40488019,
6.546847932,-31.09203911,5.020441055,-3.425923824,31.680541,
6.549354026,-29.36830902,4.807479858,-3.126821041,29.92300866,
6.55186012,-27.65654373,4.608576298,-2.753241539,28.17274793,
6.554366266,-25.9519558,4.424329281,-2.329412937,26.42924259,
6.556872359,-24.28326225,4.321437836,-1.862513304,24.73500771,
6.559378453,-22.65763855,4.247260094,-1.354935765,23.09206907,
6.561884599,-21.08016968,4.201497555,-0.8548358679,21.51178467,
6.564390693,-19.57658005,4.165605068,-0.3448655605,20.01783415,
6.566896786,-18.13041687,4.141676903,0.1004985496,18.59773114,
6.569402932,-16.77308846,4.120141506,0.4477569461,17.2775157,
6.571909026,-15.49711609,4.079463482,0.6966105103,16.04019624,
6.57441512,-14.31446362,4.012464523,0.8476574421,14.89034128,
6.576921266,-13.19641685,3.95503664,0.8596215248,13.80314029,
6.579427359,-12.12622738,3.871287823,0.7468597889,12.75108071,
6.581933453,-11.13021469,3.811467409,0.5362913609,11.77695085,
6.584439547,-10.20837975,3.718147278,0.2536391914,10.86738097,
6.586945693,-9.325128555,3.619742393,-0.1435693651,10.00405766,
6.589451786,-8.489435196,3.543172121,-0.5673980713,9.216643597,
6.59195788,-7.709076405,3.454637766,-1.05822587,8.513766681,
6.594464026,-6.959524632,3.390031576,-1.563410521,7.897566058,
6.59697012,-6.229414463,3.330210924,-2.056631088,7.357013034,
6.599476214,-5.539982796,3.325425386,-2.499303341,6.927942015,
6.601982307,-4.888835907,3.349353552,-2.927917719,6.609961264,
6.604488453,-4.225724697,3.411566973,-3.279961586,6.344579295,
6.606994547,-3.62452817,3.488137245,-3.581457376,6.17504193,
6.609500641,-3.035594702,3.600599766,-3.835395575,6.073665539,
6.612006786,-2.465803623,3.706183195,-4.04835701,6.017073696,
6.61451288,-1.907976985,3.840181351,-4.203890324,6.00500315,
6.617018974,-1.371685624,3.93828702,-4.352544308,6.027957204,
6.61952512,-0.8377870321,4.060320854,-4.462614059,6.091224573,
6.622031214,-0.347258389,4.172783375,-4.52482748,6.164963358,
6.624537307,0.1507478207,4.307080746,-4.563112736,6.276596792,
6.627043401,0.6248258352,4.448257446,-4.565505505,6.404782756,
6.629549547,1.053440213,4.570291042,-4.515256405,6.510363807,
6.632055641,1.479661703,4.687539577,-4.386044025,6.587853083,
6.634561734,1.872084618,4.809872627,-4.225724697,6.670556553,
6.63706788,2.252842426,4.907978535,-4.041178226,6.744973962,
6.639573974,2.602493763,5.008476734,-3.864109516,6.840259888,
6.642080068,2.937488794,5.087440014,-3.648755312,6.915511669,
6.644586161,3.232105255,5.204688549,-3.452244759,7.032302692,
6.647092307,3.521636724,5.281258583,-3.244069338,7.128646667,
6.649598401,3.758825302,5.367699623,-3.014059305,7.212871855,
6.652104495,3.993321896,5.432305813,-2.796312332,7.29903616,
6.654610641,4.165605068,5.475376606,-2.597707987,7.353917415,
6.657116734,4.314259052,5.48734045,-2.449054003,7.397405079,
6.659622828,4.409972191,5.477769375,-2.310270309,7.40210517,
6.662128974,4.498506546,5.439484119,-2.214557409,7.39789248,
6.664635068,4.541577339,5.394020557,-2.147558212,7.371118557,
6.667141161,4.532006264,5.343770981,-2.080559254,7.309151516,
6.669647307,4.503292084,5.25254488,-2.049452543,7.215893779,
6.672153401,4.429114819,5.140082359,-2.082952023,7.097618887,
6.674659495,4.321437836,5.015655518,-2.16670084,6.96607621,
6.677165589,4.156033993,4.860121727,-2.27677083,6.788010545,
6.679671734,3.974179268,4.706682205,-2.413161755,6.615913232,
6.682177828,3.761218071,4.520041943,-2.557030201,6.41217155,
6.684683922,3.528815269,4.331008911,-2.746062994,6.225033121,
6.687190068,3.294318676,4.156033993,-2.970988512,6.078809655,
6.689696161,3.073879719,3.988536358,-3.215355396,5.974585268,
6.692202255,2.839383125,3.797110319,-3.401995659,5.835556338,
6.694708349,2.612065077,3.636492252,-3.557528973,5.718651262,
6.697214495,2.396411896,3.502494097,-3.675076485,5.613950662,
6.699720589,2.188236237,3.363710403,-3.775574923,5.509799588,
6.702226682,1.98963201,3.246462107,-3.907180309,5.455658504,
6.704732828,1.824228168,3.12921381,-4.062713623,5.442924716,
6.707238922,1.685444474,3.061915636,-4.240081787,5.494938034,
6.709745016,1.577767372,2.997309446,-4.433900356,5.579667209,
6.712251161,1.522732496,2.930310488,-4.622933388,5.681280394,
6.714757255,1.470090389,2.930310488,-4.785944462,5.801133484,
6.717263349,1.443769336,2.935096025,-4.879264355,5.874221584,
6.719769495,1.458126307,2.985345364,-4.9319067,5.946606004,
6.722275589,1.520339727,3.081058264,-4.960620403,6.034244584,
6.724781682,1.654337764,3.234498024,-4.955834866,6.14484419,
6.727287776,1.867298961,3.485744476,-4.927121162,6.317732419,
6.729793922,2.068595171,3.811467409,-4.740181446,6.424615937,
6.732300016,2.176272154,4.110570431,-4.448257446,6.435832818,
6.734806109,2.248056889,4.340580463,-4.278367043,6.496062121,
6.737312255,2.26241374,4.512863636,-4.338187218,6.656149222,
6.739818349,2.224128723,4.563112736,-4.517649174,6.795432324,
6.742324443,2.10209465,4.570291042,-4.687539577,6.876000976,
6.744830589,1.8840487,4.55354166,-4.694717884,6.806229291,
6.747336682,1.582553029,4.610969067,-4.560719967,6.675752874,
6.749842776,1.204187989,4.677968502,-4.34775877,6.498958712,
6.75234887,0.8138588071,4.766502857,-4.141676903,6.366741962,
6.754855016,0.4142574072,4.862514496,-3.940679789,6.272528487,
6.757361109,-0.004785645287,4.965405941,-3.797110319,6.250866007,
6.759867203,-0.4692923427,5.089832783,-3.643670797,6.277178501,
6.762373349,-0.9409775138,5.23818779,-3.440280676,6.337158759,
6.764879443,-1.434198022,5.396413326,-3.239283562,6.455320189,
6.767385536,-1.970489502,5.571089268,-2.992523909,6.623825469,
6.76989163,-2.528316259,5.760122299,-2.68624258,6.840123625,
6.772397776,-3.061915636,5.992525101,-2.425125837,7.153105603,
6.77490387,-3.557528973,6.262914181,-2.137987137,7.513394401,
6.777409964,-4.072285175,6.483353138,-1.742872238,7.852068396,
6.779916109,-4.610969067,6.686742783,-1.37886405,8.23861826,
6.782422203,-5.164010525,6.935596466,-1.115653515,8.718611461,
6.784928297,-5.750551224,7.16321373,-0.9242277741,9.232262306,
6.787434443,-6.365805626,7.40488863,-0.6343970895,9.785617842,
6.789940536,-7.057929516,7.680362701,-0.308973223,10.4354111,
6.79244663,-7.790432453,7.926823139,0.02871387079,11.11423355,
6.794952724,-8.542078018,8.159226418,0.3831507266,11.8189203,
6.79745887,-9.329915047,8.384151459,0.7995018363,12.56902994,
6.799964964,-10.12463093,8.573184013,1.256830096,13.32618691,
6.802471057,-10.96032429,8.760123253,1.745265007,14.13910951,
6.804977203,-11.83400345,8.939585686,2.329412937,15.01286097,
6.807483297,-12.72233868,9.09990406,2.994916677,15.92594365,
6.809989391,-13.67258835,9.277272224,3.79471755,16.95309215,
6.812495536,-14.63749409,9.461520195,4.704289436,18.05289275,
6.81500163,-15.62632847,9.672088623,5.721837044,19.24761956,
6.817507724,-16.62712669,9.859027863,6.748956203,20.47462289,
6.820013818,-17.6132679,10.05763149,7.725826263,21.70418275,
6.822519964,-18.57578087,10.26341438,8.618648529,22.90585978,
6.825026057,-19.49043846,10.44317532,9.248259544,23.96804971,
6.827532151,-20.38325882,10.60349464,9.562018394,24.88661356,
6.830038297,-21.19981003,10.70638561,9.612267494,25.62136461,
6.832544391,-21.97538376,10.70638561,9.444769859,26.20587457,
6.835050484,-22.71985054,10.61067295,9.087940216,26.67149502,
6.83755663,-23.44786644,10.39053345,8.47986412,27.01247344,
6.840062724,-24.1516571,10.06720352,7.778468132,27.29754007,
6.842568818,-24.7980175,9.657731056,6.99063158,27.51512986,
6.845074911,-25.42045021,9.138189316,6.128916264,27.69962829,
6.847581057,-25.99741936,8.551649094,5.290830135,27.87452957,
6.850087151,-26.55285454,7.893323898,4.536791801,28.07028903,
6.852593245,-27.04607391,7.184749126,3.854538202,28.2483309,
6.855099391,-27.48426056,6.488138676,3.251247883,28.42624025,
6.857605484,-27.884161,5.786443233,2.769991398,28.6126233,
6.860111578,-28.22872734,5.04676199,2.386840582,28.77547327,
6.862617724,-28.5185585,4.350151539,2.07098794,28.92267257,
6.865123818,-28.74348259,3.670290947,1.824228168,29.03423213,
6.867629911,-28.93281555,3.057130098,1.678265929,29.14224488,
6.870136057,-29.1146698,2.477767944,1.673480392,29.26779575,
6.872642151,-29.23670387,1.994417667,1.790728688,29.35931308,
6.875148245,-29.34438133,1.553839207,2.068595171,29.45821139,
6.877654339,-29.43530846,1.161117196,2.492124796,29.5634278,
6.880160484,-29.53371239,0.818644464,3.069094181,29.70403483,
6.882666578,-29.60549736,0.5291129351,3.694219112,29.83978367,
6.885172672,-29.6222477,0.2464607358,4.314259052,29.93578348,
6.887678818,-29.60788918,-0.08135596663,4.963013172,30.02107959,
6.890184911,-29.548069,-0.423828721,5.657230854,30.08774291,
6.892691005,-29.4161644,-0.7755736113,6.303592205,30.09397809,
6.895197099,-29.20081139,-1.168295622,6.985845566,30.04753465,
6.897703245,-28.7578392,-1.53230381,7.608577728,29.78677098,
6.900209339,-27.93919563,-1.824228168,8.079963684,29.14124696,
6.902715432,-26.88575554,-2.042274237,8.518149376,28.27673255,
6.905221578,-25.69831657,-2.171486616,9.037691116,27.32761771,
6.907727672,-24.47737885,-2.224128723,9.67926693,26.41546956,
6.910233766,-23.26810646,-2.228914261,10.33041382,25.55563121,
6.912739911,-22.13809586,-2.216950178,10.86431217,24.75971396,
6.915246005,-21.06581306,-2.238485575,11.16849995,23.94816671,
6.917752099,-20.05544281,-2.286342144,11.24507046,23.10627093,
6.920258245,-19.13121605,-2.379662037,11.13021469,22.26090515,
6.922764339,-18.2527504,-2.48733902,10.78774166,21.34771938,
6.925270432,-17.38834381,-2.533101797,10.33998489,20.38838868,
6.927776526,-16.5649128,-2.568994284,9.813264847,19.42411477,
6.930282672,-15.73161221,-2.631207705,9.245866776,18.43618532,
6.932788766,-14.94407463,-2.683849812,8.630612373,17.46470401,
6.935294859,-14.15863037,-2.688635349,8.060821533,16.51279558,
6.937801005,-13.39980698,-2.67188549,7.498209,15.5857928,
6.940307099,-12.65294743,-2.614457846,6.940382004,14.66633461,
6.942813193,-11.89143085,-2.542673111,6.380162239,13.73236267,
6.945319339,-11.14696407,-2.482553482,5.796014786,12.806704,
6.947825432,-10.39531898,-2.427518606,5.185545921,11.86783004,
6.950331526,-9.657731056,-2.315055847,4.534399033,10.91751012,
6.95283762,-8.937192917,-2.173879385,3.895216227,9.988587401,
6.955343766,-8.183154106,-2.039881229,3.246462107,9.036849161,
6.957849859,-7.424031258,-1.917548299,2.614457846,8.101149389,
6.960355953,-6.660421848,-1.809871197,2.023131609,7.192351107,
6.962862099,-5.915955067,-1.735693693,1.462911963,6.336502849,
6.965368193,-5.180759907,-1.635195136,0.9672985673,5.518134002,
6.967874286,-4.441078663,-1.575374603,0.5650052428,4.745968369,
