Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
9.291373605,-4.208974838,11.06321526,0.9984052777,11.87884734,
9.293879646,-4.271188259,11.36231804,1.024726272,12.18176442,
9.29638574,-4.323830605,11.69521999,1.015154958,12.51016472,
9.298891782,-4.388436794,12.03021526,0.9744769931,12.8426657,
9.301397928,-4.462614059,12.32961655,0.9625129104,13.14765377,
9.303903969,-4.548755646,12.62901878,0.9337990284,13.45567813,
9.306410011,-4.639683247,12.89222908,0.8883354068,13.73045415,
9.308916105,-4.752145767,13.11954784,0.8401798606,13.97896016,
9.311422146,-4.862514496,13.28255844,0.8282157183,14.1688513,
9.31392824,-4.934299469,13.39502144,0.8138588071,14.29812144,
9.316434282,-5.039583683,13.47398472,0.8234301209,14.40915352,
9.318940428,-5.132903576,13.50748348,0.8620143533,14.4755614,
9.321446469,-5.235795021,13.51705551,0.9337990284,14.52571237,
9.323952511,-5.321936607,13.47398472,1.003190875,14.5216275,
9.326458605,-5.391627789,13.40698528,1.103689432,14.49258552,
9.328964646,-5.475376606,13.30887985,1.220937729,14.44287786,
9.33147074,-5.528018475,13.18415356,1.371685624,14.36183883,
9.333976782,-5.561518192,13.02861977,1.572981834,14.25305895,
9.336482876,-5.56630373,12.86830139,1.797907114,14.13539486,
9.338988917,-5.532804012,12.72712421,2.068595171,14.03106186,
9.341495063,-5.475376606,12.54018497,2.310270309,13.87707956,
9.344001105,-5.396413326,12.41575813,2.48733902,13.76441725,
9.346507146,-5.288437366,12.26501083,2.595315218,13.60638532,
9.34901324,-5.171188831,12.0975132,2.626421928,13.41600207,
9.351519282,-5.051547527,11.94646645,2.616850615,13.23193486,
9.354025376,-4.948656559,11.80050373,2.578565598,13.05335553,
9.356531417,-4.855336189,11.66411304,2.614457846,12.90198483,
9.359037563,-4.77637291,11.54207897,2.65513587,12.77039826,
9.361543605,-4.697110653,11.41735363,2.659921408,12.62909317,
9.364049646,-4.577469826,11.31924725,2.695813894,12.50383944,
9.36655574,-4.467400074,11.20917797,2.767598391,12.37994083,
9.369061782,-4.36211586,11.07039356,2.84656167,12.23456504,
9.371567876,-4.299902439,10.94596672,2.966202736,12.12854926,
9.374073917,-4.220939159,10.8116703,3.105285645,12.01463029,
9.376580063,-4.141676903,10.66570759,3.215355396,11.88483556,
9.379086105,-4.067499161,10.50538826,3.301496983,11.73914879,
9.381592146,-3.990929127,10.38335514,3.378067255,11.6255287,
9.38409824,-3.907180309,10.24905777,3.447459221,11.49757445,
9.386604282,-3.821038723,10.11745262,3.509672642,11.3701797,
9.389110376,-3.730111361,10.01216793,3.61017108,11.27787979,
9.391616417,-3.631706476,9.933204651,3.696611881,11.20369519,
9.394122563,-3.543172121,9.870991707,3.749253988,11.13765915,
9.396628605,-3.433102369,9.810872078,3.816252947,11.07263245,
9.399134646,-3.315854073,9.796515465,3.885644913,11.04829579,
9.40164074,-3.220141172,9.798908234,3.911965847,11.03138199,
9.404146782,-3.117249727,9.808479309,3.907180309,11.00861345,
9.406652876,-3.004487991,9.825528145,3.883252144,10.98397008,
9.409158917,-2.923131943,9.849455833,3.84257412,10.96913198,
9.411665011,-2.829811811,9.88534832,3.80907464,10.96526315,
9.414171053,-2.748456001,9.93559742,3.725325823,10.96121156,
9.416677199,-2.667099953,9.961918831,3.629313707,10.9327566,
9.41918324,-2.602493763,9.985847473,3.509672642,10.89990484,
9.421689282,-2.542673111,10.0145607,3.3852458,10.87274122,
9.424195376,-2.475374937,10.04566765,3.258426189,10.84713146,
9.426701417,-2.401197433,10.05284595,3.126821041,10.79826239,
9.429207511,-2.34137702,10.04327488,2.970988512,10.73201702,
9.431713553,-2.283949137,10.04327488,2.827419043,10.68073464,
9.434219646,-2.214557409,10.06241703,2.710170746,10.65370952,
9.436725688,-2.126022816,10.04566765,2.633600473,10.60053126,
9.439231834,-2.001596212,10.01695347,2.499303341,10.51628553,
9.441737876,-1.876870275,9.995418549,2.315055847,10.43026929,
9.444243917,-1.769193292,9.9643116,2.142772675,10.34451668,
9.446750011,-1.666301847,10.00020409,2.025524378,10.33844247,
9.449256053,-1.565803289,10.0648098,1.97527504,10.37563722,
9.451762146,-1.520339727,10.11027431,1.963011861,10.41069139,
9.454268188,-1.443769336,10.14855862,1.97527504,10.43932102,
9.456774334,-1.398006678,10.17488003,1.941476464,10.45236514,
9.459280376,-1.340578914,10.18923664,1.862513304,10.44445551,
9.461786417,-1.271187067,10.22512913,1.752443433,10.4518056,
9.464292511,-1.242473125,10.2969141,1.697408557,10.50958492,
9.466798553,-1.228116274,10.32562828,1.70937264,10.53797057,
9.469304646,-1.194616675,10.35912704,1.754836321,10.57440649,
9.471810688,-1.175474167,10.40489006,1.769193292,10.61948782,
9.474316834,-1.149153113,10.42642593,1.766800404,10.63731612,
9.476822876,-1.130010486,10.44796085,1.771586061,10.65717255,
9.479328917,-1.120439172,10.44078255,1.821835399,10.65759862,
9.481835011,-1.103689432,10.41206837,1.896012783,10.64068431,
9.484341053,-1.091725349,10.40489006,1.992024899,10.64996547,
9.486847146,-1.077368379,10.3471632,2.078166485,10.60864199,
9.489353188,-1.05822587,10.27298546,2.176272154,10.55415713,
9.491859334,-1.043868899,10.1964159,2.267199516,10.49746413,
9.494365376,-1.034297585,10.09830952,2.365305185,10.42306554,
9.496871417,-1.003190875,9.981060982,2.494517565,10.33685581,
9.499377511,-0.97926265,9.861420631,2.619243383,10.25021991,
9.501883553,-0.9625129104,9.72712326,2.746062994,10.15303994,
9.504389646,-0.955334425,9.542876244,2.872882605,10.01162351,
9.506895688,-0.9361918569,9.363413811,3.009273529,9.879559735,
9.509401782,-0.9074779749,9.171689034,3.157927752,9.74247934,
9.511907824,-0.8979067206,8.975478172,3.301496983,9.605484227,
9.514413969,-0.8883354068,8.769695282,3.425923824,9.456936564,
9.516920011,-0.9194421172,8.542078018,3.533600807,9.28971503,
9.519426053,-0.9290133715,8.336295128,3.629313707,9.139409187,
9.521932146,-0.955334425,8.134998322,3.684647799,8.981508278,
9.524438188,-0.9744769931,7.934001446,3.71336174,8.814025174,
9.526944282,-1.005583763,7.728219032,3.732504129,8.641073729,
9.529450324,-1.05822587,7.543672562,3.715754509,8.475474576,
9.531956469,-1.094118118,7.373782158,3.66789794,8.308022211,
9.534462511,-1.1395818,7.194320202,3.61017108,8.129589477,
9.536968553,-1.168295622,7.024429798,3.531208038,7.948393477,
9.539474646,-1.192223907,6.882954121,3.430709362,7.78243034,
9.541980688,-1.211366415,6.736992359,3.339782238,7.616339018,
9.544486834,-1.230509043,6.595815659,3.220141172,7.442327988,
9.546992876,-1.26640141,6.480959892,3.105285645,7.297219511,
9.549498917,-1.307079315,6.380162239,2.978166819,7.161313017,
9.552005011,-1.352542996,6.298806667,2.851347208,7.045176995,
9.554511053,-1.369292736,6.246164322,2.717349291,6.947914687,
9.557017146,-1.412662625,6.210271835,2.592922449,6.876506292,
9.559523188,-1.45334065,6.15045166,2.482553482,6.789943038,
9.562029282,-1.498804331,6.145665646,2.355733871,6.750192792,
9.564535324,-1.544267893,6.138487339,2.221735716,6.708345528,
9.567041469,-1.606481314,6.131309032,2.094916344,6.675508007,
9.569547511,-1.654337764,6.114559174,1.977667928,6.635950403,
9.572053553,-1.687837243,6.102594852,1.848156333,6.595918459,
9.574559646,-1.754836321,6.102594852,1.72372961,6.579692866,
9.577065688,-1.821835399,6.093023777,1.613659739,6.561091428,
