"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.961358000E-3,2.826521695E-1,9.784550667E0,2.129612118E-1,9.790948702E0
7.493181000E-3,2.970091105E-1,9.794121742E0,1.459621787E-1,9.799711224E0
1.004797300E-2,2.970091105E-1,9.823135376E0,9.092725813E-2,9.828045116E0
1.260406700E-2,2.751746178E-1,9.815657616E0,5.264209956E-2,9.819655121E0
1.516016000E-2,2.536391914E-1,9.813264847E0,2.392822690E-2,9.816571313E0
1.771625400E-2,2.129612118E-1,9.796515465E0,-1.435693540E-2,9.798840434E0
2.027234800E-2,1.746760458E-1,9.784550667E0,-1.674975827E-2,9.786124055E0
2.282844200E-2,1.507478207E-1,9.782157898E0,-4.067798331E-2,9.783403945E0
2.538453500E-2,1.339980662E-1,9.794121742E0,-4.546362907E-2,9.795143854E0
2.794062900E-2,1.172483116E-1,9.794121742E0,-5.264209956E-2,9.794964985E0
3.049672300E-2,1.052841991E-1,9.808479309E0,-6.699903309E-2,9.809273163E0
3.305281700E-2,9.332008660E-2,9.818050385E0,-5.503492057E-2,9.818648116E0
3.560891000E-2,6.939185411E-2,9.813264847E0,-4.546362907E-2,9.813615497E0
3.816500400E-2,7.657032460E-2,9.815657616E0,-2.392822644E-3,9.815956559E0
4.072109800E-2,6.699903309E-2,9.818050385E0,3.828516230E-2,9.818353629E0
4.327719200E-2,6.221338734E-2,9.784550667E0,5.503492057E-2,9.784903224E0
4.583328500E-2,5.742774159E-2,9.779765129E0,8.374879509E-2,9.780292316E0
4.838937900E-2,8.135596663E-2,9.763015747E0,1.100698411E-1,9.763975145E0
5.094547300E-2,1.028913707E-1,9.763015747E0,1.268195957E-1,9.764381512E0
5.350156700E-2,9.810572863E-2,9.772586823E0,1.363908947E-1,9.774030919E0
5.605766000E-2,7.657032460E-2,9.789336205E0,1.459621787E-1,9.790723737E0
5.861375400E-2,5.264209956E-2,9.796515465E0,1.627119333E-1,9.798008043E0
6.116984800E-2,1.674975827E-2,9.789336205E0,1.698904037E-1,9.790824614E0
6.372594200E-2,-1.914258115E-2,9.765408516E0,1.507478207E-1,9.766590747E0
6.628203500E-2,-1.196411345E-2,9.751050949E0,1.244267747E-1,9.751852120E0
6.883812900E-2,-1.435693540E-2,9.727123260E0,7.417750359E-2,9.727416684E0
7.139422300E-2,4.785645287E-3,9.715159416E0,2.632104978E-2,9.715196250E0
7.395031700E-2,5.024927482E-2,9.710372925E0,-2.392822690E-2,9.710532420E0
7.650641000E-2,8.374879509E-2,9.719944954E0,-6.221338734E-2,9.720504836E0
7.906250400E-2,9.571290761E-2,9.741479874E0,-6.460621208E-2,9.742164290E0
8.161859800E-2,1.459621787E-1,9.755837440E0,-5.503492057E-2,9.757084501E0
8.417469200E-2,1.627119333E-1,9.777372360E0,-2.632104978E-2,9.778761590E0
8.673078500E-2,1.435693651E-1,9.765408516E0,-1.674975827E-2,9.766478188E0
8.928687900E-2,1.100698411E-1,9.765408516E0,7.178467698E-3,9.766031455E0
9.184297300E-2,6.699903309E-2,9.765408516E0,2.392822690E-2,9.765667663E0
9.439906700E-2,-1.435693540E-2,9.782157898E0,5.742774159E-2,9.782337001E0
9.695516000E-2,-7.896314561E-2,9.770194054E0,7.417750359E-2,9.770794713E0
9.951125400E-2,-1.651047617E-1,9.755837440E0,1.028913707E-1,9.757776918E0
1.020673480E-1,-1.986042857E-1,9.748658180E0,1.076770201E-1,9.751275523E0
1.046234420E-1,-2.129612118E-1,9.739087105E0,9.332008660E-2,9.741862181E0
1.071795350E-1,-1.770688742E-1,9.741479874E0,7.657032460E-2,9.743389889E0
1.097356290E-1,-9.571290761E-2,9.755837440E0,8.614161611E-2,9.756687220E0
1.122917230E-1,-3.349951655E-2,9.774979591E0,8.135596663E-2,9.775375544E0
1.148478170E-1,1.914258115E-2,9.786943436E0,7.657032460E-2,9.787261684E0
1.174039100E-1,7.178468257E-2,9.798908234E0,8.614161611E-2,9.799549785E0
1.199600040E-1,8.614161611E-2,9.803693771E0,9.810572863E-2,9.804563054E0
1.225160980E-1,8.374879509E-2,9.772586823E0,8.614161611E-2,9.773325301E0
1.250721920E-1,7.657032460E-2,9.779765129E0,1.004985496E-1,9.780581218E0
1.276282850E-1,5.024927482E-2,9.739087105E0,9.810572863E-2,9.739710846E0
1.301843790E-1,1.196411345E-2,9.736694336E0,1.052841991E-1,9.737270896E0
1.327404730E-1,-3.110669367E-2,9.729516029E0,1.339980662E-1,9.730488440E0
1.352965670E-1,-5.264209956E-2,9.717552185E0,1.435693651E-1,9.718755261E0
1.378526600E-1,-6.939185411E-2,9.724730492E0,1.531406492E-1,9.726183754E0
1.404087540E-1,-7.178468257E-2,9.739087105E0,1.483550072E-1,9.740481502E0
1.429648480E-1,-4.067798331E-2,9.746265411E0,1.268195957E-1,9.747175354E0
1.455209420E-1,-9.571290575E-3,9.772586823E0,7.417750359E-2,9.772873023E0
1.480770350E-1,4.067798331E-2,9.774979591E0,1.435693540E-2,9.775074774E0
1.506331290E-1,1.076770201E-1,9.786943436E0,-2.392822690E-2,9.787565004E0
1.531892230E-1,1.722832322E-1,9.808479309E0,-4.067798331E-2,9.810076583E0
1.557453170E-1,2.392822653E-1,9.810872078E0,-7.417750359E-2,9.814069963E0
1.583014100E-1,2.751746178E-1,9.794121742E0,-8.853443712E-2,9.798386608E0
1.608575040E-1,3.017947674E-1,9.796515465E0,-1.004985496E-1,9.801678188E0
1.634135980E-1,3.041875660E-1,9.772586823E0,-1.100698411E-1,9.777939387E0
1.659696920E-1,2.727817893E-1,9.751050949E0,-9.810572863E-2,9.755359002E0
1.685257850E-1,2.249253243E-1,9.729516029E0,-6.221338734E-2,9.732314425E0
1.710818790E-1,1.603191197E-1,9.698409081E0,-1.435693540E-2,9.699744689E0
1.736379730E-1,1.220339537E-1,9.703194618E0,1.196411345E-2,9.703969354E0
1.761940670E-1,1.076770201E-1,9.719944954E0,5.024927482E-2,9.720671234E0
1.787501600E-1,1.076770201E-1,9.765408516E0,7.657032460E-2,9.766302311E0
1.813062540E-1,1.124626622E-1,9.784550667E0,1.004985496E-1,9.785713033E0
1.838623480E-1,1.268195957E-1,9.760622978E0,1.100698411E-1,9.762067379E0
1.864184420E-1,8.374879509E-2,9.727123260E0,9.810572863E-2,9.727978491E0
1.889745350E-1,5.264209956E-2,9.707980156E0,8.135596663E-2,9.708463766E0
1.915306290E-1,1.914258115E-2,9.717552185E0,1.220339537E-1,9.718337265E0
1.940867230E-1,-1.196411345E-2,9.715159416E0,1.866401732E-1,9.716959410E0
1.966428170E-1,-1.914258115E-2,9.712766647E0,2.368894368E-1,9.715673882E0
1.991989100E-1,9.571290575E-3,9.719944954E0,2.656033039E-1,9.723577872E0
2.017550040E-1,4.307080805E-2,9.727123260E0,2.679961324E-1,9.730909718E0
2.043110980E-1,9.332008660E-2,9.741479874E0,2.321037948E-1,9.744691423E0
2.068671920E-1,1.411765367E-1,9.751050949E0,1.914258152E-1,9.753951469E0
2.094232850E-1,2.081755698E-1,9.763015747E0,1.124626622E-1,9.765882520E0
2.119793790E-1,2.608176768E-1,9.772586823E0,5.982056633E-2,9.776249668E0
2.145354730E-1,2.874378264E-1,9.803693771E0,2.392822690E-2,9.807935798E0
2.170915670E-1,2.799602449E-1,9.808479309E0,-7.178467698E-3,9.812476529E0
2.196476600E-1,2.512463629E-1,9.818050385E0,-4.785645287E-3,9.821265753E0
2.222037540E-1,2.081755698E-1,9.803693771E0,2.392822690E-2,9.805932959E0
2.247598480E-1,1.555334777E-1,9.794121742E0,7.178468257E-2,9.795619654E0
2.273159420E-1,1.004985496E-1,9.774979591E0,9.332008660E-2,9.775941623E0
2.298720350E-1,7.178468257E-2,9.763015747E0,6.699903309E-2,9.763509532E0
2.324281290E-1,5.982056633E-2,9.758230209E0,3.349951655E-2,9.758471066E0
2.349842230E-1,5.742774159E-2,9.763015747E0,7.178467698E-3,9.763187285E0
2.375403170E-1,6.460621208E-2,9.763015747E0,-4.067798331E-2,9.763314250E0
2.400964100E-1,7.178468257E-2,9.789336205E0,-6.939185411E-2,9.789845331E0
2.426525040E-1,8.614161611E-2,9.806086540E0,-1.028913707E-1,9.807004652E0
2.452085980E-1,9.092725813E-2,9.830313683E0,-1.339980662E-1,9.831647387E0
2.477646920E-1,1.196411327E-1,9.810872078E0,-1.196411327E-1,9.812330963E0
2.503207850E-1,1.387837082E-1,9.798908234E0,-1.076770201E-1,9.800482530E0
2.528768790E-1,1.555334777E-1,9.801301003E0,-1.220339537E-1,9.803294563E0
2.554329730E-1,1.579262912E-1,9.798908234E0,-1.124626622E-1,9.800826044E0
2.579890670E-1,1.770688742E-1,9.798908234E0,-1.052841991E-1,9.801073447E0
2.605446400E-1,1.746760458E-1,9.813264847E0,-9.332008660E-2,9.815262977E0
2.630751600E-1,1.914258152E-1,9.832706451E0,-8.135596663E-2,9.834906141E0
2.655810980E-1,2.105683982E-1,9.823135376E0,-7.896314561E-2,9.825709279E0
2.680870350E-1,2.081755698E-1,9.810872078E0,-7.178468257E-2,9.813343010E0
2.705930770E-1,2.057827413E-1,9.794121742E0,-6.939185411E-2,9.796529103E0
2.730990670E-1,2.081755698E-1,9.772586823E0,-6.939185411E-2,9.775050153E0
2.756050040E-1,2.153540403E-1,9.755837440E0,-4.067798331E-2,9.758298839E0
2.781109420E-1,1.818545163E-1,9.741479874E0,-1.196411345E-2,9.743184507E0
2.806169830E-1,1.746760458E-1,9.736694336E0,3.349951655E-2,9.738318671E0
2.831229730E-1,1.890329868E-1,9.760622978E0,7.657032460E-2,9.762753577E0
2.856289630E-1,2.321037948E-1,9.774979591E0,1.076770201E-1,9.778327696E0
2.881349000E-1,2.584248483E-1,9.791728973E0,1.172483116E-1,9.795840283E0
2.906408380E-1,2.946162820E-1,9.803693771E0,1.124626622E-1,9.808764355E0
2.931468790E-1,3.065803945E-1,9.820742607E0,9.332008660E-2,9.825969954E0
2.956528690E-1,3.424727321E-1,9.803693771E0,7.417750359E-2,9.809954202E0
2.981588060E-1,3.568296731E-1,9.782157898E0,4.785645381E-2,9.788780864E0
3.006647440E-1,3.520440459E-1,9.746265411E0,3.589234129E-2,9.752687462E0
