"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.216565000E-3,8.353942037E-1,9.523733139E0,2.535494804E0,9.890809385E0
1.077469000E-2,8.691928387E-1,9.490233421E0,2.468196630E0,9.844390341E0
1.333088800E-2,8.787640929E-1,9.463912964E0,2.372483730E0,9.796252037E0
1.588708600E-2,9.050851464E-1,9.449555397E0,2.327019930E0,9.773857891E0
1.844328400E-2,9.529415965E-1,9.428020477E0,2.341377020E0,9.761030384E0
2.099948200E-2,1.005583763E0,9.387342453E0,2.365305185E0,9.732834410E0
2.355568000E-2,1.053440213E0,9.363413811E0,2.355733871E0,9.712504134E0
2.611187800E-2,1.084546804E0,9.341878891E0,2.358126640E0,9.695757022E0
2.866807600E-2,1.127617717E0,9.327521324E0,2.348555326E0,9.684517948E0
3.122427400E-2,1.149153113E0,9.351449966E0,2.346162558E0,9.709513278E0
3.378047200E-2,1.158724308E0,9.365806580E0,2.358126640E0,9.727370465E0
3.633667000E-2,1.134796143E0,9.408877373E0,2.367697954E0,9.768353459E0
3.889286700E-2,1.103689432E0,9.444769859E0,2.358126640E0,9.797069425E0
4.144906500E-2,1.072582722E0,9.466305733E0,2.358126640E0,9.814384299E0
4.400526300E-2,1.053440213E0,9.483055115E0,2.391626120E0,9.836561701E0
4.656146100E-2,1.055832982E0,9.511769295E0,2.427518606E0,9.873266176E0
4.911765900E-2,1.103689432E0,9.523733139E0,2.458625317E0,9.897699819E0
5.167385700E-2,1.177866936E0,9.521340370E0,2.451446772E0,9.902165634E0
5.423005500E-2,1.259222865E0,9.492626190E0,2.434697151E0,9.880452643E0
5.678625300E-2,1.369292736E0,9.444769859E0,2.405983210E0,9.842123526E0
5.934245100E-2,1.450947881E0,9.382556915E0,2.389233351E0,9.790100103E0
6.189864900E-2,1.496411443E0,9.358628273E0,2.379662037E0,9.771691858E0
6.445484700E-2,1.505982757E0,9.334700584E0,2.353341103E0,9.743861319E0
6.701104500E-2,1.491625786E0,9.327521324E0,2.336591244E0,9.730737905E0
6.956724200E-2,1.470090389E0,9.332307816E0,2.331805706E0,9.730901950E0
7.212344000E-2,1.431805253E0,9.332307816E0,2.338984251E0,9.726915378E0
7.467963800E-2,1.383649707E0,9.327521324E0,2.358126640E0,9.719974373E0
7.723583600E-2,1.366899967E0,9.327521324E0,2.389233351E0,9.725199513E0
7.979203400E-2,1.335793257E0,9.349057198E0,2.401197433E0,9.744483733E0
8.234823200E-2,1.319043517E0,9.361021042E0,2.422732830E0,9.759007384E0
8.490443000E-2,1.311864972E0,9.365806580E0,2.427518606E0,9.763819395E0
8.746062800E-2,1.319043517E0,9.368199348E0,2.465803623E0,9.776667241E0
9.001682600E-2,1.328614831E0,9.368199348E0,2.484946251E0,9.782808097E0
9.257302400E-2,1.319043517E0,9.368199348E0,2.518445730E0,9.790076799E0
