"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.608405000E-3,1.459621787E-1,9.485447884E0,2.432304144E0,9.793422791E0
6.143509000E-3,1.004985496E-1,9.497411728E0,2.432304144E0,9.804439450E0
8.701634000E-3,7.178468257E-2,9.471091270E0,2.437089920E0,9.779883955E0
1.125772800E-2,4.546362907E-2,9.442377090E0,2.427518606E0,9.749533253E0
1.381387300E-2,4.067798331E-2,9.416056633E0,2.408375978E0,9.719261910E0
1.637001900E-2,5.982056633E-2,9.413662910E0,2.382055044E0,9.710551690E0
1.892616500E-2,1.004985496E-1,9.396913528E0,2.379662037E0,9.694063917E0
2.148231100E-2,1.674975902E-1,9.411270142E0,2.358126640E0,9.703649951E0
2.403845700E-2,2.344966233E-1,9.416056633E0,2.331805706E0,9.703320516E0
2.659460300E-2,3.424727321E-1,9.432806015E0,2.305484533E0,9.716500184E0
2.915074800E-2,4.621138871E-1,9.454340935E0,2.269592285E0,9.733918065E0
3.170689400E-2,5.865406394E-1,9.471091270E0,2.260020971E0,9.754655020E0
3.426304000E-2,7.085745931E-1,9.502198219E0,2.248056889E0,9.790179198E0
3.681918600E-2,7.947162390E-1,9.521340370E0,2.216950178E0,9.808280402E0
3.937533200E-2,8.524430394E-1,9.526125908E0,2.214557409E0,9.817229674E0
4.193147800E-2,8.979067206E-1,9.545269012E0,2.195414782E0,9.835560130E0
4.448762300E-2,9.290133715E-1,9.538089752E0,2.185843468E0,9.829350621E0
4.704376900E-2,9.290133715E-1,9.542876244E0,2.212164640E0,9.839879331E0
4.959991500E-2,9.266205430E-1,9.535696983E0,2.219342947E0,9.834308603E0
5.215606100E-2,9.194421172E-1,9.540482521E0,2.202593327E0,9.834510557E0
5.471220700E-2,8.787640929E-1,9.523733139E0,2.190629244E0,9.811858933E0
5.726835300E-2,8.572286963E-1,9.530911446E0,2.161915302E0,9.810555122E0
5.982449800E-2,8.234301209E-1,9.526125908E0,2.152343988E0,9.800902847E0
6.238064400E-2,7.875377536E-1,9.526125908E0,2.157129526E0,9.799004966E0
6.493679000E-2,7.636095285E-1,9.509376526E0,2.126022816E0,9.774012197E0
6.749293600E-2,7.636095285E-1,9.509376526E0,2.082952023E0,9.764734024E0
7.004908200E-2,7.588238716E-1,9.516554832E0,2.049452543E0,9.764265731E0
7.260522800E-2,7.731808424E-1,9.528518677E0,2.030309916E0,9.773056592E0
7.516137300E-2,7.923234105E-1,9.557232857E0,2.013560295E0,9.799127580E0
7.771751900E-2,8.186444640E-1,9.583553314E0,2.015953064E0,9.827448277E0
8.027366500E-2,8.452646136E-1,9.585947037E0,2.001596212E0,9.829101701E0
8.282981100E-2,8.620143533E-1,9.585947037E0,2.011167526E0,9.832509555E0
8.538595700E-2,8.859425783E-1,9.588339806E0,2.013560295E0,9.837457982E0
8.794210300E-2,9.050851464E-1,9.566803932E0,2.013560295E0,9.818214790E0
9.049824800E-2,9.074779749E-1,9.552447319E0,2.027917147E0,9.807406080E0
9.305439400E-2,9.074779749E-1,9.540482521E0,2.032702923E0,9.796744571E0
9.561054000E-2,8.787640929E-1,9.530911446E0,2.044667006E0,9.787295974E0
9.816668600E-2,8.668000102E-1,9.530911446E0,2.049452543E0,9.787229995E0
1.007228320E-1,8.620143533E-1,9.514162064E0,2.032702923E0,9.766996964E0
1.032789780E-1,8.715856671E-1,9.514162064E0,2.047059774E0,9.770844133E0
1.058351230E-1,8.859425783E-1,9.523733139E0,2.059023857E0,9.783964759E0
1.083912690E-1,9.170492887E-1,9.518947601E0,2.078166485E0,9.786220863E0
1.109474150E-1,9.720842242E-1,9.518947601E0,2.087737799E0,9.793567291E0
1.135035610E-1,1.043868899E0,9.497411728E0,2.080559254E0,9.778507995E0
1.160597070E-1,1.094118118E0,9.483055115E0,2.097309113E0,9.773644882E0
1.186158530E-1,1.170688510E0,9.475876808E0,2.114058733E0,9.779161375E0
1.211719980E-1,1.218544960E0,9.459127426E0,2.109273195E0,9.767751885E0
1.237281440E-1,1.278365493E0,9.428020477E0,2.114058733E0,9.746334325E0
1.262842900E-1,1.283151150E0,9.404091835E0,2.142772675E0,9.730102510E0
1.288404360E-1,1.285543919E0,9.387342453E0,2.193022013E0,9.725439170E0
