"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.633540000E-4,6.631109715E-1,9.765408516E0,-4.334000051E-1,9.797487188E0
2.795177000E-3,7.013961077E-1,9.767801285E0,-4.692923427E-1,9.804189601E0
5.350073000E-3,7.277171612E-1,9.770194054E0,-5.219344497E-1,9.811150783E0
7.906219000E-3,7.348956466E-1,9.782157898E0,-5.769693851E-1,9.826676876E0
1.046231300E-2,7.181459069E-1,9.782157898E0,-5.673980713E-1,9.824881030E0
1.301840700E-2,6.894320250E-1,9.786943436E0,-5.458626747E-1,9.826369848E0
1.557450000E-2,6.367899179E-1,9.774979591E0,-5.027918816E-1,9.808594552E0
1.813059400E-2,5.650052428E-1,9.760622978E0,-4.621138871E-1,9.787877252E0
2.068668800E-2,5.147559643E-1,9.741479874E0,-4.477569461E-1,9.765341270E0
2.324278200E-2,4.980062246E-1,9.746265411E0,-4.238287210E-1,9.768179485E0
2.579887500E-2,5.027918816E-1,9.739087105E0,-3.999004960E-1,9.760252954E0
2.835496900E-2,5.051847100E-1,9.743872643E0,-4.094717801E-1,9.765548259E0
3.091106300E-2,5.386841893E-1,9.748658180E0,-3.927220106E-1,9.771425052E0
3.346715700E-2,5.458626747E-1,9.748658180E0,-3.424727321E-1,9.769932955E0
3.602325000E-2,5.817549825E-1,9.763015747E0,-3.065803945E-1,9.785137039E0
3.857934400E-2,6.152545214E-1,9.772586823E0,-2.775674164E-1,9.795868262E0
4.113543800E-2,6.487540603E-1,9.789336205E0,-1.986042857E-1,9.812819616E0
4.369153200E-2,6.966105103E-1,9.789336205E0,-1.076770201E-1,9.814681038E0
4.624762500E-2,7.372884750E-1,9.784550667E0,-5.982056633E-2,9.812471888E0
4.880371900E-2,7.636095285E-1,9.808479309E0,-9.571290575E-3,9.838163318E0
5.135981300E-2,7.779664397E-1,9.803693771E0,4.546362907E-2,9.834617953E0
5.391590700E-2,7.971090674E-1,9.782157898E0,6.460621208E-2,9.814793425E0
5.647200000E-2,7.779664397E-1,9.777372360E0,3.349951655E-2,9.808331370E0
5.902809400E-2,7.660023570E-1,9.743872643E0,-2.871387079E-2,9.773977602E0
6.158418800E-2,7.803592682E-1,9.724730492E0,-5.264209956E-2,9.756132170E0
6.414028200E-2,8.018946648E-1,9.731908798E0,-4.785645381E-2,9.765007637E0
6.669637500E-2,8.234301209E-1,9.751050949E0,-5.024927482E-2,9.785885589E0
6.925246900E-2,8.401798606E-1,9.746265411E0,-5.024927482E-2,9.782541421E0
7.180856300E-2,8.572286963E-1,9.739087105E0,-5.503492057E-2,9.776895597E0
7.436465700E-2,8.715856671E-1,9.753444672E0,-4.067798331E-2,9.792394969E0
7.692075000E-2,8.715856671E-1,9.760622978E0,-2.392822690E-2,9.799489530E0
7.947684400E-2,8.715856671E-1,9.772586823E0,-4.785645287E-3,9.811377971E0
8.203293800E-2,8.811569214E-1,9.798908234E0,-7.178467698E-3,9.838449655E0
8.458903200E-2,8.835497499E-1,9.813264847E0,-3.110669367E-2,9.853009426E0
8.714512500E-2,9.026923180E-1,9.794121742E0,-5.982056633E-2,9.835814792E0
8.970121900E-2,9.122636318E-1,9.782157898E0,-9.571290761E-2,9.825069925E0
9.225731300E-2,8.763712645E-1,9.760622978E0,-1.268195957E-1,9.800707665E0
9.481340700E-2,8.234301209E-1,9.731908798E0,-1.387837082E-1,9.767668449E0
9.736950000E-2,7.229315639E-1,9.691230774E0,-1.627119333E-1,9.719519491E0
9.992559400E-2,6.391827464E-1,9.686445236E0,-1.866401732E-1,9.709305354E0
1.024816880E-1,5.530411601E-1,9.710372925E0,-2.105683982E-1,9.728388146E0
1.050377820E-1,4.956133962E-1,9.729516029E0,-2.679961324E-1,9.745816371E0
1.075938750E-1,4.645066857E-1,9.734301567E0,-3.113660514E-1,9.750350880E0
1.101499690E-1,4.860421121E-1,9.741479874E0,-3.568296731E-1,9.760122667E0
1.127060630E-1,5.147559643E-1,9.736694336E0,-3.664009571E-1,9.757173769E0
1.152621570E-1,5.913262963E-1,9.743872643E0,-3.903291821E-1,9.769599671E0
1.178182500E-1,6.822535396E-1,9.753444672E0,-3.903291821E-1,9.785065647E0
1.203743440E-1,7.420741320E-1,9.789336205E0,-4.046861231E-1,9.825759421E0
1.229304380E-1,7.803592682E-1,9.791728973E0,-4.070789516E-1,9.831206953E0
1.254865320E-1,7.803592682E-1,9.777372360E0,-3.855435550E-1,9.816038646E0
1.280426250E-1,7.372884750E-1,9.779765129E0,-3.687937856E-1,9.814448998E0
1.305987190E-1,7.085745931E-1,9.786943436E0,-3.664009571E-1,9.819398629E0
1.331548130E-1,6.415755749E-1,9.798908234E0,-3.448655605E-1,9.825942909E0
1.357109070E-1,5.745765567E-1,9.794121742E0,-3.664009571E-1,9.817800598E0
1.382670000E-1,4.884349108E-1,9.786943436E0,-3.999004960E-1,9.807280504E0
1.408230940E-1,3.903291821E-1,9.774979591E0,-4.453641176E-1,9.792902128E0
1.433791880E-1,2.898306549E-1,9.734301567E0,-4.621138871E-1,9.749573224E0
1.459352820E-1,1.986042857E-1,9.679266930E0,-4.668995142E-1,9.692556273E0
1.484913750E-1,1.339980662E-1,9.664909363E0,-4.310071766E-1,9.675442918E0
1.510474690E-1,1.028913707E-1,9.676874161E0,-3.807578981E-1,9.684908711E0
1.536035630E-1,1.220339537E-1,9.691230774E0,-3.185445070E-1,9.697232430E0
1.561596570E-1,1.722832322E-1,9.722337723E0,-2.826521695E-1,9.727971246E0
1.587157500E-1,2.488535494E-1,9.748658180E0,-2.727817893E-1,9.755648328E0
1.612718440E-1,3.376871049E-1,9.763015747E0,-2.608176768E-1,9.772335182E0
1.638279380E-1,4.621138871E-1,9.767801285E0,-2.512463629E-1,9.781953584E0
1.663840320E-1,6.008976102E-1,9.767801285E0,-2.321037948E-1,9.789018952E0
1.689401250E-1,7.396813035E-1,9.767801285E0,-1.914258152E-1,9.797638196E0
1.714962190E-1,8.476574421E-1,9.772586823E0,-1.842473447E-1,9.811010316E0
1.740523130E-1,9.457631707E-1,9.782157898E0,-1.938186288E-1,9.829681927E0
1.766084070E-1,1.000798106E0,9.791728973E0,-1.842473447E-1,9.844465461E0
1.791645000E-1,9.960124493E-1,9.815657616E0,-1.842473447E-1,9.867782036E0
1.817205940E-1,9.672985673E-1,9.810872078E0,-1.890329868E-1,9.860254100E0
1.842766880E-1,9.122636318E-1,9.791728973E0,-1.818545163E-1,9.835814775E0
1.868327820E-1,8.428717852E-1,9.791728973E0,-1.866401732E-1,9.829711272E0
1.893888750E-1,7.636095285E-1,9.774979591E0,-1.842473447E-1,9.806491351E0
1.919449690E-1,7.301099896E-1,9.784550667E0,-2.177468538E-1,9.814168637E0
1.945010630E-1,7.013961077E-1,9.774979591E0,-2.656033039E-1,9.803709891E0
1.970571570E-1,6.559324861E-1,9.763015747E0,-2.751746178E-1,9.788893961E0
1.996132500E-1,6.487540603E-1,9.734301567E0,-2.512463629E-1,9.759130779E0
2.021693440E-1,6.296114326E-1,9.693623543E0,-2.033899277E-1,9.716178025E0
2.047254380E-1,6.008976102E-1,9.657731056E0,-1.651047617E-1,9.677815181E0
2.072815320E-1,6.415755749E-1,9.657731056E0,-1.363908947E-1,9.679978866E0
2.098376250E-1,7.157530785E-1,9.684052467E0,-1.124626622E-1,9.711118499E0
2.123937190E-1,7.947162390E-1,9.688838005E0,-8.374879509E-2,9.721736967E0
2.149498130E-1,8.955138922E-1,9.724730492E0,-5.742774159E-2,9.766044553E0
2.175059070E-1,9.888339639E-1,9.767801285E0,-6.699903309E-2,9.817954136E0
2.200620000E-1,1.084546804E0,9.791728973E0,-9.332008660E-2,9.852050888E0
2.226180940E-1,1.146760225E0,9.803693771E0,-8.135596663E-2,9.870870750E0
2.251741880E-1,1.163509965E0,9.827920914E0,-7.896314561E-2,9.896869207E0
2.277302820E-1,1.149153113E0,9.830313683E0,-1.100698411E-1,9.897865191E0
2.302863750E-1,1.106082320E0,9.823135376E0,-1.172483116E-1,9.885906831E0
2.328424690E-1,1.024726272E0,9.803693771E0,-1.435693651E-1,9.858148287E0
2.353985630E-1,9.290133715E-1,9.789336205E0,-1.914258152E-1,9.835182409E0
2.379546570E-1,8.596215248E-1,9.763015747E0,-2.249253243E-1,9.803367638E0
2.405107500E-1,7.755736113E-1,9.755837440E0,-2.727817893E-1,9.790418198E0
2.430668440E-1,7.253243923E-1,9.734301567E0,-3.376871049E-1,9.767126243E0
2.456229380E-1,7.013961077E-1,9.719944954E0,-4.046861231E-1,9.753617650E0
2.481790320E-1,6.918248534E-1,9.705587387E0,-4.214358926E-1,9.739335520E0
2.507351250E-1,7.157530785E-1,9.693623543E0,-4.334000051E-1,9.729669852E0
2.532912190E-1,7.420741320E-1,9.686445236E0,-4.190430641E-1,9.723862012E0
2.558473130E-1,7.277171612E-1,9.691230774E0,-3.472583890E-1,9.724716683E0
2.584034070E-1,7.013961077E-1,9.707980156E0,-2.632105052E-1,9.736843173E0
2.609595000E-1,6.559324861E-1,9.739087105E0,-1.938186288E-1,9.763074860E0
2.635155940E-1,5.985047817E-1,9.758230209E0,-1.507478207E-1,9.777729271E0
2.660716880E-1,5.434698462E-1,9.763015747E0,-1.220339537E-1,9.778891974E0
2.686277820E-1,4.788636267E-1,9.751050949E0,-1.124626622E-1,9.763449843E0
2.711838750E-1,4.597210586E-1,9.729516029E0,-1.004985496E-1,9.740889363E0
2.737399690E-1,4.166502357E-1,9.707980156E0,-6.699903309E-2,9.717147987E0
2.762960630E-1,4.094717801E-1,9.669695854E0,-5.503492057E-2,9.678518166E0
2.788521570E-1,4.118646085E-1,9.672088623E0,-5.264209956E-2,9.680996952E0
2.814082500E-1,4.334000051E-1,9.674481392E0,-7.178468257E-2,9.684450362E0
2.839643440E-1,4.405784607E-1,9.707980156E0,-1.100698411E-1,9.718595755E0
2.865204380E-1,4.549354017E-1,9.710372925E0,-1.339980662E-1,9.721947544E0
2.890765320E-1,4.645066857E-1,9.731908798E0,-1.770688742E-1,9.744596898E0
