"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.408036000E-3,8.572286963E-1,6.930810928E0,6.911668301E0,9.825585981E0
5.943141000E-3,8.691928387E-1,6.949953556E0,6.976274490E0,9.885633838E0
8.501318000E-3,8.907282352E-1,6.954739094E0,7.024429798E0,9.924938621E0
1.105756800E-2,8.811569214E-1,6.961917400E0,7.048357964E0,9.946058586E0
1.361376600E-2,8.524430394E-1,6.966702938E0,7.081857681E0,9.970672855E0
1.616996400E-2,8.401798606E-1,6.964310169E0,7.098607540E0,9.979867100E0
1.872616100E-2,8.162516356E-1,6.961917400E0,7.105785847E0,9.981320209E0
2.128235900E-2,7.923234105E-1,6.969096184E0,7.098607540E0,9.979293914E0
2.383855700E-2,7.731808424E-1,6.985845566E0,7.091429234E0,9.984398603E0
2.639475500E-2,7.516453862E-1,6.988238335E0,7.089035988E0,9.982728938E0
2.895095300E-2,7.348956466E-1,6.988238335E0,7.067500591E0,9.966198435E0
3.150715100E-2,7.013961077E-1,6.995417118E0,7.060322285E0,9.963732630E0
3.406334900E-2,6.798607111E-1,6.995417118E0,7.060322285E0,9.962239809E0
3.661954700E-2,6.367899179E-1,6.993024349E0,7.043572426E0,9.945843527E0
3.917574500E-2,6.008976102E-1,7.004988194E0,7.067500591E0,9.968976985E0
4.173194300E-2,5.889334679E-1,7.012166977E0,7.086643219E0,9.986883421E0
4.428814100E-2,5.626124144E-1,7.034001350E0,7.091429234E0,1.000410297E1
4.684433900E-2,5.458626747E-1,7.026822567E0,7.122535706E0,1.002021538E1
4.940053600E-2,5.338985324E-1,7.009773731E0,7.148856640E0,1.002637156E1
5.195673400E-2,5.315057039E-1,7.000202656E0,7.179963589E0,1.004177338E1
5.451293200E-2,5.243272781E-1,7.000202656E0,7.189534664E0,1.004824189E1
5.706913000E-2,5.147559643E-1,6.993024349E0,7.191927433E0,1.004446034E1
