"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.403136000E-3,9.744769931E-1,7.838288784E0,6.100202084E0,9.980022141E0
8.913136000E-3,9.744769931E-1,7.838288784E0,6.100202084E0,9.980022141E0
1.144495900E-2,9.888339639E-1,7.821538925E0,6.157629967E0,1.000353290E1
1.399985500E-2,1.012762189E0,7.819146156E0,6.195915222E0,1.002766669E1
1.655605300E-2,1.046261668E0,7.802396297E0,6.243771553E0,1.004772286E1
1.911225100E-2,1.065404296E0,7.800003529E0,6.255735874E0,1.005531564E1
2.166844900E-2,1.063011408E0,7.785646915E0,6.272485256E0,1.005437032E1
2.422464600E-2,1.084546804E0,7.771289825E0,6.267699718E0,1.004257174E1
2.678084400E-2,1.065404296E0,7.761718273E0,6.255735874E0,1.002564652E1
2.933704200E-2,1.063011408E0,7.764111042E0,6.241378784E0,1.001829440E1
3.189324000E-2,1.065404296E0,7.766504288E0,6.205486298E0,9.998086585E0
3.444943800E-2,1.051047325E0,7.756932735E0,6.157629967E0,9.959473518E0
3.700563600E-2,1.031904817E0,7.752147198E0,6.114559174E0,9.927157076E0
3.956183400E-2,1.029511929E0,7.730611801E0,6.081059456E0,9.889465999E0
4.211803200E-2,1.005583763E0,7.728219032E0,6.052345753E0,9.867494982E0
4.467423000E-2,1.005583763E0,7.733004570E0,6.037988663E0,9.862447236E0
4.723042800E-2,1.003190875E0,7.725826263E0,6.004489422E0,9.836090514E0
4.978662600E-2,9.768698215E-1,7.711469173E0,5.999703884E0,9.819240203E0
5.234282400E-2,9.505487680E-1,7.701898098E0,5.987739563E0,9.801826480E0
5.489902100E-2,9.385846853E-1,7.694719315E0,5.985346794E0,9.793570482E0
5.745521900E-2,9.170492887E-1,7.682755470E0,5.990132332E0,9.785059855E0
6.001141700E-2,8.931210637E-1,7.680362701E0,6.011667728E0,9.794170988E0
6.256761500E-2,8.524430394E-1,7.658827305E0,6.006882191E0,9.770717910E0
6.512381300E-2,7.875377536E-1,7.658827305E0,6.016453266E0,9.771159670E0
6.768001100E-2,7.468597889E-1,7.654041290E0,6.026024818E0,9.770113752E0
7.023620900E-2,7.253243923E-1,7.642077446E0,6.042774677E0,9.769471274E0
7.279240700E-2,6.846463680E-1,7.627720356E0,6.047560215E0,9.758270494E0
7.534860500E-2,6.463612318E-1,7.622934818E0,6.037988663E0,9.745985080E0
7.790480300E-2,6.128616929E-1,7.613363266E0,6.033203125E0,9.733367332E0
8.046100100E-2,6.152545214E-1,7.615756035E0,6.042774677E0,9.741324546E0
8.301719900E-2,5.841478109E-1,7.627720356E0,6.049952984E0,9.753218833E0
8.557339600E-2,5.530411601E-1,7.625327587E0,6.037988663E0,9.742113858E0
8.812959400E-2,5.506483316E-1,7.637291908E0,6.045167446E0,9.755792676E0
9.068579200E-2,5.267201066E-1,7.632505894E0,6.023632050E0,9.737387912E0
9.324199000E-2,5.123631358E-1,7.632505894E0,5.987739563E0,9.714457642E0
9.579818800E-2,5.099703074E-1,7.661220074E0,5.975775242E0,9.729555615E0
9.835438600E-2,5.051847100E-1,7.675576687E0,5.959025860E0,9.730348312E0
1.009105840E-1,5.123631358E-1,7.670791149E0,5.932704449E0,9.710846251E0
1.034667820E-1,5.267201066E-1,7.697112083E0,5.915955067E0,9.722216458E0
1.060229800E-1,5.386841893E-1,7.704290867E0,5.901597977E0,9.719832154E0
1.085791780E-1,5.817549825E-1,7.709076405E0,5.908776283E0,9.730464277E0
1.111353760E-1,6.080760360E-1,7.689933777E0,5.925526142E0,9.727111494E0
1.136915740E-1,6.272186637E-1,7.699504852E0,5.932704449E0,9.740264899E0
1.162477710E-1,6.678966284E-1,7.697112083E0,5.951847076E0,9.752748533E0
1.188039690E-1,7.181459069E-1,7.687541008E0,5.980561256E0,9.766326496E0
