"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.703554160E-2,-9.979095459E0,1.182281494E0,-4.733209229E1
3.697254159E-2,-9.979095459E0,1.182281494E0,-4.733209229E1
4.691054160E-2,-8.921951294E0,1.971497059E0,-4.757330322E1
5.684754159E-2,-8.921951294E0,1.971497059E0,-4.757330322E1
6.678454159E-2,-7.980178833E0,3.303946495E0,-4.758160400E1
7.672254159E-2,-7.980178833E0,3.303946495E0,-4.758160400E1
8.665954159E-2,-7.610900879E0,4.412618160E0,-4.739855957E1
9.659754159E-2,-7.610900879E0,4.412618160E0,-4.739855957E1
1.065345416E-1,-7.894561768E0,5.176133156E0,-4.737823486E1
1.164715416E-1,-7.894561768E0,5.176133156E0,-4.737823486E1
1.264095416E-1,-8.294799805E0,5.467347622E0,-4.709643555E1
1.363465416E-1,-8.294799805E0,5.467347622E0,-4.709643555E1
1.462845416E-1,-8.692138672E0,6.033315659E0,-4.660455322E1
1.562215416E-1,-8.692138672E0,6.033315659E0,-4.660455322E1
1.661585416E-1,-9.042709351E0,6.422134876E0,-4.660540771E1
1.760965416E-1,-9.042709351E0,6.422134876E0,-4.660540771E1
1.860335416E-1,-8.640487671E0,6.884278297E0,-4.654589844E1
1.959715416E-1,-8.640487671E0,6.884278297E0,-4.654589844E1
2.059085416E-1,-8.144714355E0,7.506638050E0,-4.654046631E1
2.158455417E-1,-8.144714355E0,7.506638050E0,-4.654046631E1
2.257835417E-1,-7.169830322E0,7.916860104E0,-4.663287354E1
2.357205417E-1,-7.169830322E0,7.916860104E0,-4.663287354E1
2.456585417E-1,-6.188690186E0,7.791364670E0,-4.673254395E1
2.555955417E-1,-6.188690186E0,7.791364670E0,-4.673254395E1
2.655335417E-1,-5.280014038E0,7.471020699E0,-4.722271729E1
2.754705417E-1,-5.280014038E0,7.471020699E0,-4.722271729E1
2.854075417E-1,-4.921844482E0,7.090975761E0,-4.738122559E1
2.953455417E-1,-4.921844482E0,7.090975761E0,-4.738122559E1
3.052825417E-1,-5.030059814E0,6.409772873E0,-4.746356201E1
3.152205417E-1,-5.030059814E0,6.409772873E0,-4.746356201E1
3.251575417E-1,-5.838745117E0,5.769440651E0,-4.749322510E1
3.350945417E-1,-5.838745117E0,5.769440651E0,-4.749322510E1
3.450325417E-1,-7.754776001E0,5.112986088E0,-4.723675537E1
3.549695417E-1,-7.754776001E0,5.112986088E0,-4.723675537E1
3.649075417E-1,-1.135592651E1,4.633232594E0,-4.622167969E1
3.748445417E-1,-1.135592651E1,4.633232594E0,-4.622167969E1
3.847815417E-1,-1.535046387E1,4.333294868E0,-4.476940918E1
3.947195417E-1,-1.535046387E1,4.333294868E0,-4.476940918E1
4.046565417E-1,-1.630578613E1,4.540538788E0,-4.440881348E1
4.145945417E-1,-1.630578613E1,4.540538788E0,-4.440881348E1
4.245315416E-1,-1.565849304E1,4.639778137E0,-4.428387451E1
4.344685416E-1,-1.565849304E1,4.639778137E0,-4.428387451E1
4.444065416E-1,-1.552131653E1,4.450546741E0,-4.463220215E1
4.543435416E-1,-1.552131653E1,4.450546741E0,-4.463220215E1
4.642815416E-1,-1.495950317E1,3.967530727E0,-4.503729248E1
4.742185416E-1,-1.495950317E1,3.967530727E0,-4.503729248E1
4.841555416E-1,-1.385365295E1,3.031259060E0,-4.564398193E1
4.940935416E-1,-1.385365295E1,3.031259060E0,-4.564398193E1
5.040305416E-1,-1.324581909E1,2.369315624E0,-4.586865234E1
