"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.259195805E-2,4.779859622E1,9.096269561E0,4.330132943E2,0.000000000E0,1.898437500E1,5.000000000E0,5.000000000E0
6.891481042E0,4.779849798E1,9.096007400E0,4.332348137E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.141766024E1,4.779858474E1,9.096264951E0,4.394248924E2,0.000000000E0,1.898437500E1,1.000000000E1,1.000000000E1
1.241766226E1,4.779858474E1,9.096264951E0,4.365405540E2,0.000000000E0,1.898437500E1,1.000000000E1,1.000000000E1
1.341768622E1,4.779858474E1,9.096264951E0,4.370281639E2,0.000000000E0,1.898437500E1,1.000000000E1,1.000000000E1
1.441772330E1,4.779858474E1,9.096264951E0,4.378581200E2,0.000000000E0,1.898437500E1,1.000000000E1,1.000000000E1
1.541775894E1,4.779858474E1,9.096264951E0,4.385281639E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
1.641779125E1,4.779858474E1,9.096264951E0,4.386562157E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
1.741782320E1,4.779858474E1,9.096264951E0,4.388713036E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
1.841785169E1,4.779858474E1,9.096264951E0,4.391263084E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
1.941787851E1,4.779858474E1,9.096264951E0,4.393791161E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.041790426E1,4.779858474E1,9.096264951E0,4.396143456E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.141792834E1,4.779858474E1,9.096264951E0,4.395125999E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.241794956E1,4.779858474E1,9.096264951E0,4.394379539E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.341797125E1,4.779858474E1,9.096264951E0,4.392746239E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.441799009E1,4.779858474E1,9.096264951E0,4.367217064E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.541800797E1,4.779858474E1,9.096264951E0,4.348631859E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.641802466E1,4.779858474E1,9.096264951E0,4.357117577E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.741804123E1,4.779858474E1,9.096264951E0,4.361608543E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.841805470E1,4.779858474E1,9.096264951E0,4.361662254E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
2.941806984E1,4.779858474E1,9.096264951E0,4.347131004E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.041808116E1,4.779858474E1,9.096264951E0,4.347163353E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.141809416E1,4.779858474E1,9.096264951E0,4.341177635E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.241810453E1,4.779858474E1,9.096264951E0,4.340483055E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.341811550E1,4.779858474E1,9.096264951E0,4.341748924E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.441812503E1,4.779858474E1,9.096264951E0,4.344819603E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.541813421E1,4.779858474E1,9.096264951E0,4.348243065E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.641814220E1,4.779858474E1,9.096264951E0,4.349601707E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.741814983E1,4.779858474E1,9.096264951E0,4.349576073E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.841815686E1,4.779858474E1,9.096264951E0,4.352463036E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
3.941816390E1,4.779858474E1,9.096264951E0,4.351315575E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
4.041817057E1,4.779858474E1,9.096264951E0,4.350979881E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
4.141817617E1,4.779858474E1,9.096264951E0,4.351011620E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
4.241818118E1,4.779858474E1,9.096264951E0,4.350827293E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
4.341818631E1,4.779858474E1,9.096264951E0,4.352389183E2,0.000000000E0,-1.000000000E0,5.000000000E0,5.000000000E0
