"Time (s)","Distance (cm)"
3.887083265E-3,5.000000000E0
3.998032833E0,0.000000000E0
2.251312680E2,5.000000000E0
2.258542552E2,5.000000000E0
2.292452128E2,0.000000000E0
2.328100825E2,5.000000000E0
2.346751405E2,0.000000000E0
2.395850190E2,5.000000000E0
2.431804176E2,0.000000000E0
7.009921939E2,5.000000000E0
7.013499495E2,0.000000000E0
7.026573940E2,5.000000000E0
7.027942801E2,0.000000000E0
7.030898866E2,5.000000000E0
7.244181857E2,5.000000000E0
7.288466695E2,0.000000000E0
1.732827484E3,5.000000000E0
1.734892833E3,0.000000000E0
2.079099176E3,5.000000000E0
2.081682900E3,0.000000000E0
2.172609094E3,5.000000000E0
