"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.368833357E-3,5.374124451E0,1.489253082E0,5.326224060E0
1.130483334E-2,5.966293030E0,1.446292419E0,4.579726410E0
2.124083333E-2,6.327641602E0,1.552421722E0,4.431235199E0
3.117683332E-2,6.145769806E0,1.498533783E0,4.915029144E0
4.111283331E-2,5.622008972E0,1.339115295E0,5.703739014E0
5.104783329E-2,5.003944244E0,1.122066650E0,6.563551025E0
6.098383327E-2,4.295168152E0,8.560697937E-1,7.491770782E0
7.091983326E-2,3.615132294E0,5.673202515E-1,8.855435028E0
8.085583337E-2,2.922223206E0,2.716850281E-1,1.046878006E1
9.079083335E-2,2.445015564E0,8.232879639E-2,1.161988632E1
1.007268333E-1,2.370320892E0,-1.559756470E-1,1.231324448E1
1.106628333E-1,2.782264252E0,-5.159770203E-1,1.236683304E1
1.205988333E-1,3.265459442E0,-6.231541443E-1,1.177182037E1
1.305348333E-1,3.551963654E0,-5.239105225E-1,1.106499023E1
1.404698333E-1,3.509452057E0,-4.320016479E-1,1.055215668E1
1.504058333E-1,3.283422089E0,-3.984713745E-1,1.012659164E1
1.603418334E-1,2.968027954E0,-3.640429688E-1,9.656868439E0
1.702778334E-1,2.880909119E0,-1.859133911E-1,9.124275970E0
1.802138333E-1,2.993175659E0,7.768844604E-2,8.857830048E0
1.901488333E-1,2.888842621E0,4.237687683E-1,8.676706696E0
2.000848333E-1,2.752326508E0,7.400610352E-1,8.536448364E0
2.100208333E-1,2.940335541E0,8.292755127E-1,8.577912140E0
2.199568333E-1,3.315605164E0,7.834707642E-1,8.719817047E0
2.298928333E-1,3.684288483E0,6.042933655E-1,9.122479706E0
2.398278334E-1,3.790118408E0,1.865121460E-1,9.685908051E0
2.497638334E-1,3.460354156E0,-2.050735474E-1,1.032732422E1
2.596998333E-1,2.961291962E0,-5.418731689E-1,1.079525116E1
2.696358333E-1,2.391427002E0,-6.147715759E-1,1.093625793E1
2.795717500E-1,2.227966919E0,-4.552033997E-1,1.106094864E1
2.895067499E-1,2.310445404E0,-2.100132751E-1,1.126557312E1
2.994427499E-1,2.481539612E0,-5.493576050E-2,1.116393448E1
3.093787499E-1,2.605332184E0,-1.023870850E-1,1.110795090E1
3.193147500E-1,2.783611450E0,-4.535568237E-2,1.118144806E1
3.292507500E-1,2.890489197E0,8.592132568E-2,1.122201370E1
3.391857500E-1,2.912942505E0,2.293231201E-1,1.089479416E1
3.491217500E-1,2.908751221E0,4.596940613E-1,1.034214340E1
3.590577500E-1,2.912194061E0,6.367758179E-1,9.745484161E0
3.689937500E-1,2.997366943E0,6.596781921E-1,9.315129089E0
3.789297499E-1,3.240311737E0,6.683601379E-1,9.087602234E0
3.888647499E-1,3.499273224E0,6.264472961E-1,8.801696777E0
3.988007500E-1,3.748055878E0,5.873785400E-1,8.687933350E0
4.087367500E-1,4.108805695E0,5.770500183E-1,8.780890045E0
4.186727500E-1,4.477638702E0,5.284011841E-1,9.157057800E0
4.286087500E-1,4.740192719E0,3.180885315E-1,9.588161316E0
