"Time (s)","X (hPa)"
-5.713301668E-1,9.531365204E2
4.321898333E-1,9.531314087E2
1.435656833E0,9.531262207E2
2.438993833E0,9.531236267E2
3.442357833E0,9.531236267E2
4.445787833E0,9.531314850E2
4.625110833E0,9.531327820E2
5.554104833E0,9.531352997E2
6.483002833E0,9.531384277E2
7.411928833E0,9.531590271E2
8.340858833E0,9.531951141E2
9.269761833E0,9.532784271E2
1.019884183E1,9.533009338E2
1.112780983E1,9.533018494E2
1.205684283E1,9.533018494E2
1.298597183E1,9.532714844E2
1.391494983E1,9.531938171E2
1.484401683E1,9.531764984E2
1.577323783E1,9.531665802E2
1.670231183E1,9.531649780E2
1.763154983E1,9.531629944E2
1.856090083E1,9.531596375E2
1.949020183E1,9.531538391E2
2.041953183E1,9.531531525E2
2.134881183E1,9.531538391E2
2.227785983E1,9.531606293E2
2.320704183E1,9.531672668E2
2.413620883E1,9.531728363E2
2.506523883E1,9.531832886E2
2.599435083E1,9.531910706E2
2.692346783E1,9.531962585E2
2.785258783E1,9.532051849E2
2.878177483E1,9.532087708E2
2.971088583E1,9.532186127E2
3.064010883E1,9.532266235E2
3.156939083E1,9.532339478E2
3.249869883E1,9.532455444E2
3.342810283E1,9.532573700E2
3.435765183E1,9.532679749E2
3.528721483E1,9.532825470E2
3.621658683E1,9.532914734E2
3.714584583E1,9.532994843E2
3.807505883E1,9.533105469E2
3.900443183E1,9.533183289E2
3.993379383E1,9.533278656E2
4.086313283E1,9.533467102E2
4.179248783E1,9.533545685E2
4.272172683E1,9.533628082E2
4.365081683E1,9.533737946E2
4.458003883E1,9.533828735E2
4.550918683E1,9.533848572E2
4.643844083E1,9.533906555E2
4.736755883E1,9.534015656E2
4.829668083E1,9.534043121E2
4.922560683E1,9.534056854E2
5.015463183E1,9.534133911E2
5.108363183E1,9.534223938E2
5.201261283E1,9.534304047E2
5.294156483E1,9.534466553E2
5.387031883E1,9.534578705E2
5.479921883E1,9.534684753E2
5.572809083E1,9.534729767E2
5.665689783E1,9.534729767E2
5.758572483E1,9.534724426E2
5.851447283E1,9.534719086E2
5.944323283E1,9.534722137E2
6.037169683E1,9.534722137E2
6.130040283E1,9.534747314E2
6.222908283E1,9.534747314E2
6.315763283E1,9.534746552E2
6.408637083E1,9.534703064E2
6.501496483E1,9.534700775E2
6.594355883E1,9.534648132E2
6.687221483E1,9.534639740E2
6.780105283E1,9.534639740E2
6.872973483E1,9.534646606E2
6.965841383E1,9.534648895E2
7.058718983E1,9.534648895E2
7.151603483E1,9.534636688E2
7.244495983E1,9.534629822E2
7.337399683E1,9.534593964E2
7.430286783E1,9.534556580E2
7.523175383E1,9.534544373E2
7.616067583E1,9.534544373E2
7.708963983E1,9.534435272E2
7.801840583E1,9.534432220E2
7.894707983E1,9.534350586E2
7.987579083E1,9.534231567E2
8.080467583E1,9.534157562E2
8.173362983E1,9.534127808E2
8.266261583E1,9.534028625E2
8.359167883E1,9.533972168E2
8.452099883E1,9.533888245E2
8.545028783E1,9.533763123E2
8.637950583E1,9.533646393E2
8.730882483E1,9.533565521E2
8.823818783E1,9.533538818E2
8.916755083E1,9.533512878E2
9.009705983E1,9.533476257E2
9.102657083E1,9.533418274E2
