"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.254683337E-2,-9.647686481E-1,9.317609072E-1,2.630677223E-1
2.248283336E-2,-1.206455827E0,1.448028803E0,2.085485309E-1
3.241883335E-2,-1.382326484E0,1.841774225E0,1.411343515E-1
4.235483333E-2,-1.510085464E0,2.102550030E0,7.356622070E-2
5.228983331E-2,-1.553071141E0,2.417980671E0,1.307110023E-2
6.222583330E-2,-1.468643069E0,2.853486300E0,-4.765190184E-2
7.216183329E-2,-1.359582543E0,2.830724955E0,-8.807086200E-2
8.209783328E-2,-1.273236752E0,2.372733116E0,-1.239553615E-1
9.203283326E-2,-1.231639504E0,1.652099729E0,-1.611954272E-1
1.019688334E-1,-1.248705268E0,9.043607116E-1,-2.190360725E-1
1.119048333E-1,-1.279621601E0,3.246203661E-1,-2.732355595E-1
1.218408333E-1,-1.293991208E0,-2.265258878E-1,-3.082100749E-1
1.317768333E-1,-1.289472342E0,-7.729151845E-1,-2.885144353E-1
1.417118333E-1,-1.205891371E0,-9.795871377E-1,-2.388038635E-1
1.516478333E-1,-9.891547561E-1,-7.804867029E-1,-1.899016649E-1
1.615838333E-1,-7.149695158E-1,-3.902873099E-1,-1.399495602E-1
1.715198333E-1,-4.672580957E-1,-1.036238000E-1,-9.364057332E-2
1.814558334E-1,-2.539652586E-1,1.584360301E-1,-4.821264371E-2
1.913908334E-1,-6.929162890E-2,5.162760615E-1,-1.749574672E-3
2.013268333E-1,8.168376982E-2,8.568059206E-1,3.995472938E-2
2.112628333E-1,2.344963849E-1,1.224556208E0,4.707116261E-2
2.211988333E-1,4.193272293E-1,1.592233300E0,3.859591857E-2
2.311348333E-1,5.839380622E-1,1.796111465E0,1.161176432E-2
2.410698333E-1,7.049342990E-1,1.794877887E0,-1.860579103E-2
2.510058333E-1,7.066246867E-1,1.566830635E0,-7.780381292E-2
2.609418333E-1,6.092419624E-1,1.254857063E0,-1.627429277E-1
2.708778334E-1,4.870052040E-1,9.366260767E-1,-2.501263022E-1
2.808137500E-1,4.200703800E-1,6.326637864E-1,-3.063735962E-1
2.907487500E-1,4.516894519E-1,3.888980150E-1,-3.219686151E-1
3.006847500E-1,5.380573869E-1,1.693565995E-1,-3.334873319E-1
3.106207500E-1,6.250215173E-1,-7.640194893E-2,-3.611171246E-1
3.205567499E-1,6.983731985E-1,-3.359964788E-1,-3.957440853E-1
3.304927499E-1,7.561478019E-1,-6.014506817E-1,-4.351877868E-1
3.404277500E-1,8.028545976E-1,-8.123093843E-1,-4.437445104E-1
3.503637500E-1,8.472022414E-1,-9.072591662E-1,-4.115117788E-1
3.602997500E-1,8.437983990E-1,-9.581396580E-1,-3.654729128E-1
3.702357500E-1,7.978189588E-1,-1.007025719E0,-3.388240039E-1
3.801717500E-1,7.200000286E-1,-1.049741626E0,-3.571510613E-1
3.901067500E-1,6.154773235E-1,-1.075245619E0,-4.077245593E-1
4.000427499E-1,4.871161580E-1,-1.144208670E0,-4.553631842E-1
4.099787499E-1,3.506423533E-1,-1.337005377E0,-4.918521047E-1
4.199147500E-1,1.785217226E-1,-1.725611687E0,-5.212265253E-1
4.298507500E-1,-3.228604794E-2,-2.228616714E0,-5.196714997E-1
4.397857500E-1,-2.795227468E-1,-2.695580244E0,-5.099586844E-1
4.497217500E-1,-5.212177634E-1,-2.919914246E0,-5.125125647E-1
4.596577500E-1,-6.956965923E-1,-2.875093937E0,-5.446912646E-1
4.695937500E-1,-7.880632281E-1,-2.526358366E0,-5.086426735E-1
4.795297500E-1,-8.055708408E-1,-2.003495216E0,-3.947935998E-1
4.894647499E-1,-6.665946245E-1,-1.536259174E0,-3.023303747E-1
4.994007500E-1,-4.043187499E-1,-9.021951556E-1,-3.241723180E-1
5.093367500E-1,-2.032680362E-1,-3.507525921E-1,-3.716838062E-1
5.192727500E-1,-1.517515779E-1,-7.629546523E-2,-4.991568029E-1
5.292087500E-1,-1.846841127E-1,4.118244722E-2,-6.587212682E-1
5.391437500E-1,-2.314084768E-1,1.498141140E-1,-7.406888008E-1
5.490797500E-1,-2.219660729E-1,2.175625116E-1,-7.490103245E-1
5.590157500E-1,-1.454465240E-1,2.024882138E-1,-6.822350025E-1
5.689517499E-1,-1.592172682E-2,9.501561522E-2,-5.809512138E-1
5.788877499E-1,1.433259845E-1,-4.385066032E-2,-4.833032191E-1
5.888227500E-1,3.032427430E-1,-1.703416109E-1,-4.061046839E-1
5.987587500E-1,4.432381988E-1,-2.418554723E-1,-3.718566895E-1
6.086947500E-1,5.352569222E-1,-1.962397248E-1,-4.089784324E-1
6.186307500E-1,5.677943826E-1,-1.440127492E-1,-5.392408371E-1
6.285667500E-1,6.108528376E-1,-4.915778711E-2,-7.162685990E-1
6.385017500E-1,7.572012544E-1,5.289454386E-2,-8.890215158E-1
6.484377499E-1,9.221212864E-1,2.135685086E-1,-9.810701013E-1
6.583737499E-1,9.883447886E-1,4.020675719E-1,-9.996147752E-1
6.683097500E-1,9.504607916E-1,5.404849648E-1,-9.686502814E-1
6.782457500E-1,8.640968800E-1,5.949811935E-1,-9.295945168E-1
6.881807500E-1,7.688865662E-1,6.297822595E-1,-8.918606043E-1
6.981167500E-1,6.682206988E-1,6.192310452E-1,-8.646540046E-1
7.080527500E-1,5.299862027E-1,5.772389174E-1,-8.435835838E-1
7.179887500E-1,3.544833958E-1,4.853582382E-1,-8.234778047E-1
7.279247500E-1,1.539209187E-1,1.922628731E-1,-8.548637033E-1
7.378607499E-1,-8.561790735E-2,-2.361526489E-1,-9.391186833E-1
7.477957500E-1,-2.831856906E-1,-5.078489184E-1,-9.520969391E-1
7.577317500E-1,-3.419230282E-1,-5.235352516E-1,-7.781293988E-1
7.676677500E-1,-2.449807674E-1,-5.591132045E-1,-4.954380691E-1
7.776037500E-1,-9.206711501E-2,-6.833531260E-1,-3.012086749E-1
7.875397500E-1,3.337788582E-2,-8.600040674E-1,-2.995894551E-1
7.974747500E-1,1.018357724E-1,-9.635618925E-1,-4.036772549E-1
8.074107500E-1,1.463519484E-1,-1.043714881E0,-5.071470141E-1
8.173467499E-1,2.344051003E-1,-1.143875360E0,-5.694642067E-1
8.272827499E-1,3.803979456E-1,-1.284777522E0,-5.482456088E-1
