"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.254683337E-2,9.144039559E-1,8.683612257E-2,-3.729592125E0
2.248283336E-2,1.308482317E0,2.818327247E-1,-3.867368313E0
3.241883335E-2,1.199741355E0,3.271280345E-1,-3.420468544E0
4.235483333E-2,8.264375666E-1,2.857417345E-1,-2.726571277E0
5.228983331E-2,3.807467097E-1,1.922225368E-1,-1.980974683E0
6.222583330E-2,-9.172176361E-2,5.638060749E-2,-1.154369593E0
7.216183329E-2,-5.277919042E-1,-1.165605895E-1,1.507154918E-1
8.209783328E-2,-9.659916008E-1,-2.908716430E-1,1.617070878E0
9.203283326E-2,-1.227859738E0,-3.632736214E-1,2.631117820E0
1.019688334E-1,-1.117273103E0,-5.155648647E-1,3.210989705E0
1.119048333E-1,-6.137535757E-1,-7.588468965E-1,3.141113724E0
1.218408333E-1,-1.393678004E-1,-7.221559107E-1,2.499290004E0
1.317768333E-1,6.196937621E-2,-5.051312392E-1,1.822463683E0
1.417118333E-1,-9.431208014E-2,-3.181475884E-1,1.369245998E0
1.516478333E-1,-4.194853905E-1,-1.996336634E-1,9.748536408E-1
1.615838333E-1,-7.868425611E-1,-7.697406247E-2,5.164740336E-1
1.715198333E-1,-8.399098438E-1,1.562819680E-1,1.013556361E-2
1.814558334E-1,-7.535023221E-1,4.682622056E-1,-2.237782055E-1
1.913908334E-1,-8.355191696E-1,8.270084010E-1,-4.249762183E-1
2.013268333E-1,-8.969064555E-1,1.127856563E0,-5.640042955E-1
2.112628333E-1,-5.645355150E-1,1.174745970E0,-5.513936055E-1
2.211988333E-1,-6.347328007E-2,1.094062288E0,-4.343072051E-1
2.311348333E-1,4.594505247E-1,8.341783299E-1,-5.662268221E-2
2.410698333E-1,6.603076449E-1,3.473847264E-1,4.603612286E-1
2.510058333E-1,4.710125166E-1,-1.052677888E-1,1.044951816E0
2.609418333E-1,6.486140907E-2,-4.894865021E-1,1.430814255E0
2.708778334E-1,-3.580671144E-1,-5.769892804E-1,1.511254985E0
2.808137500E-1,-4.093466109E-1,-4.530602124E-1,1.642621456E0
2.907487500E-1,-2.542916080E-1,-2.529429295E-1,1.804341407E0
3.006847500E-1,-6.167993903E-2,-1.812782302E-1,1.677941562E0
3.106207500E-1,6.957601905E-2,-2.989075628E-1,1.642178237E0
3.205567499E-1,2.288413095E-1,-2.932278882E-1,1.733781302E0
3.304927499E-1,2.813873130E-1,-2.428409691E-1,1.755267481E0
3.404277500E-1,2.278598544E-1,-1.754068582E-1,1.406381080E0
3.503637500E-1,1.489224431E-1,-2.745702635E-2,8.680080539E-1
3.602997500E-1,7.241162628E-2,3.739542916E-2,3.092557275E-1
3.702357500E-1,8.222939372E-2,-3.314304158E-2,-5.279684901E-2
3.801717500E-1,2.503146243E-1,-1.087330681E-1,-2.424600595E-1
3.901067500E-1,4.021978050E-1,-2.272939901E-1,-4.891704601E-1
4.000427499E-1,5.678894779E-1,-3.291195231E-1,-5.312101865E-1
4.099787499E-1,8.286483988E-1,-3.919131374E-1,-3.686891663E-1
4.199147500E-1,1.060895419E0,-4.960301211E-1,9.622470438E-2
4.298507500E-1,1.114488659E0,-7.465118296E-1,5.637394166E-1
4.397857500E-1,7.846925399E-1,-9.283467147E-1,4.937470758E-1
