"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.392740011E-1,4.780487527E1,9.096893858E0,6.314257202E2,-1.000000000E0,-1.000000000E0,6.859466067E2,6.859466067E2
5.276351929E0,4.780484778E1,9.096861742E0,6.221774445E2,3.630000114E0,2.109375000E2,3.000000000E1,3.000000000E1
5.968349934E0,4.780481367E1,9.096831400E0,6.308317413E2,3.630000114E0,2.109375000E2,3.000000000E1,3.000000000E1
2.426842999E1,4.780436801E1,9.096434920E0,6.308317261E2,-1.000000000E0,-1.000000000E0,2.981158448E2,2.981158448E2
2.428602898E1,4.780436764E1,9.096434591E0,6.308317261E2,-1.000000000E0,-1.000000000E0,2.981162026E2,2.981162026E2
2.893129575E1,4.780492657E1,9.096786892E0,6.270269318E2,2.500000000E-1,2.109375000E2,1.000000000E1,1.000000000E1
3.031729817E1,4.780490248E1,9.096426805E0,6.442902374E2,9.900000095E-1,3.283593750E2,3.000000000E1,3.000000000E1
3.131729960E1,4.780493575E1,9.096630318E0,6.269152374E2,9.900000095E-1,3.336328125E2,1.000000000E1,1.000000000E1
3.231730163E1,4.780498001E1,9.096689243E0,6.351010284E2,1.059999943E0,3.452343750E2,1.000000000E1,1.000000000E1
3.331730247E1,4.780498328E1,9.096688572E0,6.382848663E2,2.650000095E0,3.508593750E2,5.000000000E0,5.000000000E0
3.431730425E1,4.780498349E1,9.096682370E0,6.393459015E2,2.650000095E0,3.589453125E2,5.000000000E0,5.000000000E0
3.531730580E1,4.780498152E1,9.096678514E0,6.387169952E2,1.990000010E0,3.118359375E2,5.000000000E0,5.000000000E0
3.631730783E1,4.780497460E1,9.096678765E0,6.389182892E2,9.800000191E-1,3.339843750E2,5.000000000E0,5.000000000E0
3.731730926E1,4.780498219E1,9.096672814E0,6.387067413E2,1.379999995E0,3.462890625E2,5.000000000E0,5.000000000E0
3.831731045E1,4.780499530E1,9.096664852E0,6.395448761E2,2.579999924E0,3.487500000E2,5.000000000E0,5.000000000E0
3.931731200E1,4.780499530E1,9.096664852E0,6.399788361E2,0.000000000E0,3.487500000E2,5.000000000E0,5.000000000E0
4.031731379E1,4.780499530E1,9.096664852E0,6.347541046E2,0.000000000E0,3.487500000E2,5.000000000E0,5.000000000E0
4.131731606E1,4.780499530E1,9.096664852E0,6.345208282E2,0.000000000E0,3.487500000E2,5.000000000E0,5.000000000E0
4.231731677E1,4.780496760E1,9.096688572E0,6.337630157E2,8.100000024E-1,3.171093750E2,5.000000000E0,5.000000000E0
4.331731844E1,4.780498738E1,9.096661415E0,6.325431671E2,8.100000024E-1,3.476953125E2,5.000000000E0,5.000000000E0
4.431732070E1,4.780499694E1,9.096654961E0,6.310242462E2,1.159999967E0,3.378515625E2,5.000000000E0,5.000000000E0
4.531732178E1,4.780500063E1,9.096647417E0,6.293524933E2,6.200000048E-1,2.598046875E2,5.000000000E0,5.000000000E0
4.631732345E1,4.780500205E1,9.096642220E0,6.271073761E2,6.200000048E-1,3.325781250E2,5.000000000E0,5.000000000E0
4.731732476E1,4.780501215E1,9.096635431E0,6.282455597E2,6.200000048E-1,3.378515625E2,5.000000000E0,5.000000000E0
4.831732702E1,4.780502284E1,9.096630570E0,6.268673859E2,1.049999952E0,3.462890625E2,5.000000000E0,5.000000000E0
4.931732774E1,4.780502816E1,9.096632330E0,6.267082062E2,1.039999962E0,3.308203125E2,5.000000000E0,5.000000000E0
5.031732988E1,4.780503856E1,9.096632162E0,6.273595734E2,1.600000024E0,3.248437500E2,5.000000000E0,5.000000000E0
5.131733131E1,4.780504937E1,9.096627049E0,6.279489288E2,1.039999962E0,3.308203125E2,5.000000000E0,5.000000000E0
5.231733322E1,4.780505553E1,9.096625540E0,6.273874054E2,9.700000286E-1,3.403125000E2,5.000000000E0,5.000000000E0
5.331733477E1,4.780506404E1,9.096615901E0,6.293668976E2,1.600000024E0,3.234375000E2,5.000000000E0,5.000000000E0
5.431733680E1,4.780507263E1,9.096598299E0,6.285946808E2,1.600000024E0,3.023437500E2,5.000000000E0,5.000000000E0
5.531733847E1,4.780507879E1,9.096579524E0,6.291565704E2,1.600000024E0,2.988281250E2,5.000000000E0,5.000000000E0
5.631733906E1,4.780508365E1,9.096568376E0,6.306962433E2,9.499999881E-1,3.041015625E2,5.000000000E0,5.000000000E0
5.731734145E1,4.780509090E1,9.096560329E0,6.323327179E2,9.200000167E-1,3.206250000E2,5.000000000E0,5.000000000E0
5.831734324E1,4.780509932E1,9.096553121E0,6.325575714E2,9.200000167E-1,3.234375000E2,5.000000000E0,5.000000000E0
5.931734467E1,4.780509932E1,9.096553121E0,6.333985138E2,0.000000000E0,3.234375000E2,5.000000000E0,5.000000000E0
6.031734633E1,4.780510993E1,9.096539626E0,6.326455841E2,8.799999952E-1,3.336328125E2,5.000000000E0,5.000000000E0
6.131734776E1,4.780511705E1,9.096533675E0,6.331874542E2,8.899999857E-1,3.375000000E2,5.000000000E0,5.000000000E0
6.231734943E1,4.780511705E1,9.096533675E0,6.344854279E2,0.000000000E0,3.311718750E2,5.000000000E0,5.000000000E0
6.331735051E1,4.780511705E1,9.096521186E0,6.339911652E2,7.200000286E-1,3.445312500E2,5.000000000E0,5.000000000E0
6.431735349E1,4.780512845E1,9.096519426E0,6.342394562E2,7.200000286E-1,3.434765625E2,5.000000000E0,5.000000000E0
6.531735384E1,4.780513847E1,9.096516576E0,6.348601837E2,8.500000238E-1,3.424218750E2,5.000000000E0,5.000000000E0
6.631735587E1,4.780514358E1,9.096513055E0,6.348512726E2,8.500000238E-1,3.332812500E2,5.000000000E0,5.000000000E0
6.731735694E1,4.780514358E1,9.096513055E0,6.354870148E2,0.000000000E0,3.206250000E2,5.000000000E0,5.000000000E0
6.831735933E1,4.780514358E1,9.096513055E0,6.351315460E2,0.000000000E0,3.206250000E2,5.000000000E0,5.000000000E0
6.931736088E1,4.780513566E1,9.096512636E0,6.365363312E2,1.210000038E0,3.171093750E2,5.000000000E0,5.000000000E0
7.031736183E1,4.780512640E1,9.096497968E0,6.377697296E2,1.210000038E0,2.387109375E2,5.000000000E0,5.000000000E0
7.131736386E1,4.780511986E1,9.096486401E0,6.361454620E2,1.070000052E0,2.390625000E2,5.000000000E0,5.000000000E0
7.231736481E1,4.780512149E1,9.096479528E0,6.321457062E2,4.099999964E-1,2.397656250E2,1.000000000E1,1.000000000E1
7.331736743E1,4.780513243E1,9.096466368E0,6.309853058E2,6.100000143E-1,2.404687500E2,1.000000000E1,1.000000000E1
7.431736863E1,4.780514299E1,9.096452957E0,6.294455109E2,6.100000143E-1,2.404687500E2,1.000000000E1,1.000000000E1
7.531737018E1,4.780514299E1,9.096452957E0,6.302133331E2,0.000000000E0,2.401171875E2,1.000000000E1,1.000000000E1
7.631737161E1,4.780514299E1,9.096452957E0,6.276178741E2,0.000000000E0,2.401171875E2,1.000000000E1,1.000000000E1
7.731737339E1,4.780514299E1,9.096452957E0,6.250866241E2,0.000000000E0,2.401171875E2,1.000000000E1,1.000000000E1
7.831737423E1,4.780514299E1,9.096452957E0,6.228002472E2,0.000000000E0,2.401171875E2,1.000000000E1,1.000000000E1
7.931737602E1,4.780518616E1,9.096433511E0,6.205076447E2,0.000000000E0,2.401171875E2,1.000000000E1,1.000000000E1
8.031737781E1,4.780518616E1,9.096433511E0,6.193703156E2,0.000000000E0,3.086718750E2,1.000000000E1,1.000000000E1
8.131737971E1,4.780519928E1,9.096412808E0,6.301273956E2,1.200000048E0,2.404687500E2,1.000000000E1,1.000000000E1
8.231738079E1,4.780521244E1,9.096400905E0,6.243136749E2,1.370000005E0,3.237890625E2,5.000000000E0,5.000000000E0
8.331738210E1,4.780522111E1,9.096391099E0,6.331662140E2,1.200000048E0,2.404687500E2,5.000000000E0,5.000000000E0
8.431738472E1,4.780522790E1,9.096384561E0,6.296667023E2,6.399999857E-1,2.404687500E2,5.000000000E0,5.000000000E0
8.531738567E1,4.780523364E1,9.096376430E0,6.271706085E2,8.700000048E-1,3.311718750E2,5.000000000E0,5.000000000E0
8.631738675E1,4.780523666E1,9.096371736E0,6.342506866E2,8.700000048E-1,2.404687500E2,5.000000000E0,5.000000000E0
8.731738913E1,4.780523922E1,9.096371150E0,6.294723663E2,5.400000215E-1,2.404687500E2,5.000000000E0,5.000000000E0
8.831739104E1,4.780524031E1,9.096366875E0,6.265334015E2,5.400000215E-1,3.357421875E2,5.000000000E0,5.000000000E0
8.931739211E1,4.780523968E1,9.096361427E0,6.331925812E2,4.399999976E-1,2.404687500E2,5.000000000E0,5.000000000E0
9.031739366E1,4.780523922E1,9.096353883E0,6.330187220E2,6.100000143E-1,2.404687500E2,5.000000000E0,5.000000000E0
9.131739545E1,4.780523922E1,9.096353883E0,6.332995540E2,0.000000000E0,2.404687500E2,1.000000000E1,1.000000000E1
9.231739783E1,4.780523922E1,9.096353883E0,6.333114456E2,0.000000000E0,2.404687500E2,1.000000000E1,1.000000000E1
9.331739891E1,4.780523922E1,9.096353883E0,6.334539030E2,0.000000000E0,2.404687500E2,1.000000000E1,1.000000000E1
9.431740010E1,4.780523922E1,9.096353883E0,6.333303122E2,0.000000000E0,2.404687500E2,1.000000000E1,1.000000000E1
9.531740141E1,4.780523922E1,9.096353883E0,6.335399231E2,0.000000000E0,2.404687500E2,1.000000000E1,1.000000000E1
9.631740332E1,4.780523922E1,9.096353883E0,6.335678992E2,0.000000000E0,3.093750000E2,1.000000000E1,1.000000000E1
9.731740558E1,4.780524337E1,9.096325468E0,6.335538733E2,2.899999917E-1,2.404687500E2,1.000000000E1,1.000000000E1
9.831740713E1,4.780524496E1,9.096310548E0,6.336633571E2,6.499999762E-1,3.160546875E2,1.000000000E1,1.000000000E1
9.931740880E1,4.780524886E1,9.096296048E0,6.335252719E2,4.499999881E-1,3.118359375E2,1.000000000E1,1.000000000E1
1.003174105E2,4.780525305E1,9.096282301E0,6.337312652E2,6.499999762E-1,3.086718750E2,1.000000000E1,1.000000000E1
1.013174113E2,4.780525686E1,9.096265370E0,6.339119256E2,7.099999785E-1,3.002343750E2,1.000000000E1,1.000000000E1
1.023174132E2,4.780525720E1,9.096245924E0,6.336908907E2,7.099999785E-1,2.935546875E2,1.000000000E1,1.000000000E1
1.033174148E2,4.780526105E1,9.096228322E0,6.340193857E2,6.299999952E-1,3.009375000E2,1.000000000E1,1.000000000E1
1.043174165E2,4.780526537E1,9.096208792E0,6.341721482E2,6.299999952E-1,3.012890625E2,1.000000000E1,1.000000000E1
1.053174176E2,4.780527073E1,9.096191693E0,6.339874265E2,7.300000191E-1,3.093750000E2,1.000000000E1,1.000000000E1
1.063174191E2,4.780527790E1,9.096175516E0,6.341776463E2,8.299999833E-1,3.072656250E2,1.000000000E1,1.000000000E1
1.073174214E2,4.780528523E1,9.096158501E0,6.342685789E2,8.299999833E-1,3.160546875E2,1.000000000E1,1.000000000E1
1.083174227E2,4.780529504E1,9.096144671E0,6.344491445E2,8.600000143E-1,3.244921875E2,1.000000000E1,1.000000000E1
1.093174241E2,4.780530560E1,9.096134529E0,6.343157618E2,7.799999714E-1,3.294140625E2,1.000000000E1,1.000000000E1
1.103174255E2,4.780531658E1,9.096126482E0,6.343863962E2,7.799999714E-1,3.315234375E2,1.000000000E1,1.000000000E1
1.113174272E2,4.780532635E1,9.096119860E0,6.345672064E2,7.799999714E-1,3.164062500E2,1.000000000E1,1.000000000E1
1.123174292E2,4.780533435E1,9.096110137E0,6.347906228E2,6.700000167E-1,3.128906250E2,1.000000000E1,1.000000000E1
1.133174306E2,4.780534232E1,9.096100247E0,6.344747016E2,8.399999738E-1,3.121875000E2,1.000000000E1,1.000000000E1
1.143174318E2,4.780534684E1,9.096088763E0,6.348725024E2,8.399999738E-1,3.097265625E2,1.000000000E1,1.000000000E1
1.153174335E2,4.780535120E1,9.096078705E0,6.350413889E2,7.799999714E-1,3.142968750E2,1.000000000E1,1.000000000E1
