"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.254683337E-2,-3.557891846E0,-3.805381775E0,-4.809661865E1
2.248283336E-2,-3.557891846E0,-3.805381775E0,-4.809661865E1
3.241883335E-2,-2.377517700E0,-2.743816376E0,-4.830242920E1
4.235483333E-2,-2.377517700E0,-2.743816376E0,-4.830242920E1
5.228983331E-2,-5.378265381E-1,-1.217870712E0,-4.829309082E1
6.222583330E-2,-5.378265381E-1,-1.217870712E0,-4.829309082E1
7.216183329E-2,2.083511353E0,3.742408752E-2,-4.838208008E1
8.209783328E-2,2.083511353E0,3.742408752E-2,-4.838208008E1
9.203283326E-2,4.216323853E0,1.347398758E0,-4.857043457E1
1.019688334E-1,4.216323853E0,1.347398758E0,-4.857043457E1
1.119048333E-1,5.461181641E0,2.724087715E0,-4.820971680E1
1.218408333E-1,5.461181641E0,2.724087715E0,-4.820971680E1
1.317768333E-1,5.401306152E0,3.651113033E0,-4.814831543E1
1.417118333E-1,5.401306152E0,3.651113033E0,-4.814831543E1
1.516478333E-1,4.723449707E0,4.862823486E0,-4.813861084E1
1.615838333E-1,4.723449707E0,4.862823486E0,-4.813861084E1
1.715198333E-1,4.152999878E0,5.300780296E0,-4.815588379E1
1.814558334E-1,4.152999878E0,5.300780296E0,-4.815588379E1
1.913908334E-1,4.143417358E0,5.673994064E0,-4.810986328E1
2.013268333E-1,4.143417358E0,5.673994064E0,-4.810986328E1
2.112628333E-1,5.071838379E0,5.891775131E0,-4.786236572E1
2.211988333E-1,5.071838379E0,5.891775131E0,-4.786236572E1
2.311348333E-1,6.449966431E0,5.387433052E0,-4.786437988E1
2.410698333E-1,6.449966431E0,5.387433052E0,-4.786437988E1
2.510058333E-1,7.963668823E0,4.821151733E0,-4.764385986E1
2.609418333E-1,7.963668823E0,4.821151733E0,-4.764385986E1
2.708778334E-1,7.963668823E0,4.821151733E0,-4.764385986E1
2.808137500E-1,9.121047974E0,4.246799469E0,-4.766918945E1
2.907487500E-1,9.121047974E0,4.246799469E0,-4.766918945E1
3.006847500E-1,9.654144287E0,3.898176670E0,-4.762414551E1
3.106207500E-1,9.654144287E0,3.898176670E0,-4.762414551E1
3.205567499E-1,9.782302856E0,3.610661030E0,-4.739654541E1
3.304927499E-1,9.782302856E0,3.610661030E0,-4.739654541E1
3.404277500E-1,9.575836182E0,2.914958477E0,-4.760107422E1
3.503637500E-1,9.575836182E0,2.914958477E0,-4.760107422E1
3.602997500E-1,8.861419678E0,2.497809410E0,-4.766564941E1
3.702357500E-1,8.861419678E0,2.497809410E0,-4.766564941E1
3.801717500E-1,8.061111450E0,1.789070129E0,-4.789862061E1
3.901067500E-1,8.061111450E0,1.789070129E0,-4.789862061E1
