"Time (s)","X (hPa)"
-5.263943750E-1,9.511354828E2
5.096376250E-1,9.511455536E2
1.545735625E0,9.511556244E2
2.581687625E0,9.511721802E2
3.617544625E0,9.511824036E2
3.692013625E0,9.511893463E2
4.616885625E0,9.511908722E2
5.541949625E0,9.511940765E2
6.466725625E0,9.511940765E2
7.391520625E0,9.511929321E2
8.316371625E0,9.511907196E2
9.241353625E0,9.511887360E2
1.016625162E1,9.511847687E2
1.109110662E1,9.511817932E2
1.201586962E1,9.511780548E2
1.294068362E1,9.511719513E2
1.386546562E1,9.511690521E2
1.479022562E1,9.511690521E2
1.571498462E1,9.511728668E2
1.663975163E1,9.511791229E2
1.756458462E1,9.511885834E2
1.848939762E1,9.511972046E2
1.941461462E1,9.512144470E2
2.033979162E1,9.512350464E2
2.126476462E1,9.512609863E2
2.218995762E1,9.512927246E2
2.311490663E1,9.513283539E2
2.403998262E1,9.513605499E2
2.496497063E1,9.513934326E2
2.589010562E1,9.514216614E2
2.681516662E1,9.514482880E2
2.774008562E1,9.514746094E2
2.866497062E1,9.515029144E2
2.959007162E1,9.515277863E2
3.051508962E1,9.515538025E2
3.144037862E1,9.515798950E2
3.236555662E1,9.516072845E2
3.329060862E1,9.516321564E2
3.421553362E1,9.516536713E2
3.514042463E1,9.516712952E2
3.606563662E1,9.516864014E2
3.699081562E1,9.516995239E2
3.791585862E1,9.517122650E2
3.884097662E1,9.517280579E2
3.976621562E1,9.517494202E2
4.069139563E1,9.517743683E2
4.161650362E1,9.517974854E2
4.254155762E1,9.518169403E2
4.346674363E1,9.518312073E2
4.439172363E1,9.518409729E2
4.531688762E1,9.518523407E2
4.624215363E1,9.518673706E2
4.716707962E1,9.518809509E2
4.809201662E1,9.519049072E2
4.901684862E1,9.519352722E2
4.994152962E1,9.519661713E2
5.086624162E1,9.519987488E2
5.179099262E1,9.520359802E2
5.271554762E1,9.520731354E2
5.363998662E1,9.521067810E2
5.456433062E1,9.521388245E2
5.548888263E1,9.521688080E2
5.641365162E1,9.521981049E2
5.733826362E1,9.522254944E2
5.826277662E1,9.522537994E2
5.918716562E1,9.522862244E2
6.011142462E1,9.523159027E2
6.103570962E1,9.523417664E2
6.195986162E1,9.523683167E2
6.288416662E1,9.523942566E2
6.380873663E1,9.524114227E2
6.473301163E1,9.524282837E2
6.565724662E1,9.524427795E2
6.658134462E1,9.524546051E2
6.750526262E1,9.524607849E2
6.842907263E1,9.524628448E2
6.935332462E1,9.524681091E2
7.027762363E1,9.524762726E2
7.120172462E1,9.524871826E2
7.212573762E1,9.525048065E2
7.304972362E1,9.525278473E2
7.397354662E1,9.525492096E2
7.489755762E1,9.525726318E2
7.582155062E1,9.525952148E2
7.674565463E1,9.526150513E2
7.766976263E1,9.526397705E2
7.859388762E1,9.526638794E2
7.951800962E1,9.526872253E2
8.044207762E1,9.527097321E2
8.136617062E1,9.527339935E2
8.229011363E1,9.527546692E2
8.321420962E1,9.527793121E2
8.413825462E1,9.528088379E2
8.506215662E1,9.528387451E2
8.598592362E1,9.528662872E2
8.690950563E1,9.528923035E2
8.783315163E1,9.529125977E2
8.875668662E1,9.529219818E2
8.968024762E1,9.529219818E2
9.060383562E1,9.529166412E2
9.152744962E1,9.529159546E2
9.245095862E1,9.529159546E2
9.337442562E1,9.529220581E2
9.429771862E1,9.529362488E2
9.522111462E1,9.529556274E2
9.614450762E1,9.529698944E2
