"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.580500603E-2,4.780599560E1,9.092479164E0,4.588485069E2,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
4.120589495E-1,4.780609126E1,9.092319711E0,4.588485069E2,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.894241929E0,4.780613864E1,9.092214720E0,4.588485069E2,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
8.088302016E0,4.780613899E1,9.092210125E0,4.588485069E2,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.449869800E1,4.780605891E1,9.092363508E0,4.467752380E2,-1.000000000E0,-1.000000000E0,9.166666667E1,9.166666667E1
1.568842793E1,4.780601479E1,9.092452943E0,4.422843933E2,-1.000000000E0,-1.000000000E0,9.166666667E1,9.166666667E1
2.211771894E1,4.780597255E1,9.092537671E0,4.391712036E2,-1.000000000E0,-1.000000000E0,9.166666667E1,9.166666667E1
2.306127191E1,4.780590336E1,9.092844548E0,6.495331573E2,6.000000238E-1,1.582031250E2,1.000000000E1,1.000000000E1
2.406316400E1,4.780588131E1,9.092842117E0,6.506281281E2,1.559999943E0,5.273437500E1,1.000000000E1,1.000000000E1
2.506392097E1,4.780585965E1,9.092815798E0,6.497935333E2,6.000000238E-1,5.273437500E1,5.000000000E0,5.000000000E0
2.606353498E1,4.780592972E1,9.092931720E0,6.351687775E2,1.309999943E0,3.726562500E1,5.000000000E0,5.000000000E0
2.706313002E1,4.780588492E1,9.092954770E0,6.359081573E2,1.330000043E0,9.843750000E0,1.000000000E1,1.000000000E1
2.806386995E1,4.780581480E1,9.092919901E0,6.372024689E2,1.330000043E0,9.843750000E0,5.000000000E0,5.000000000E0
2.906387699E1,4.780582419E1,9.092917386E0,6.380855255E2,8.399999738E-1,2.144531250E1,5.000000000E0,5.000000000E0
3.007180297E1,4.780584045E1,9.092846727E0,6.329899445E2,8.000000119E-1,6.996093750E1,5.000000000E0,5.000000000E0
3.046202600E1,4.780585743E1,9.092849661E0,6.327151642E2,8.100000024E-1,8.613281250E1,5.000000000E0,5.000000000E0
3.146518099E1,4.780587042E1,9.092866844E0,6.325954132E2,5.199999809E-1,1.325390625E2,5.000000000E0,5.000000000E0
3.247188497E1,4.780586686E1,9.092873046E0,6.324291777E2,6.999999881E-1,8.367187500E1,5.000000000E0,5.000000000E0
3.348186696E1,4.780588366E1,9.092911603E0,6.325249279E2,5.199999809E-1,8.121093750E1,5.000000000E0,5.000000000E0
3.448249698E1,4.780588626E1,9.092929037E0,6.322499885E2,6.999999881E-1,5.378906250E1,5.000000000E0,5.000000000E0
