"Time (s)","Distance (cm)"
7.020291639E-3,5.000000000E0
8.188683742E2,0.000000000E0
8.311317619E2,5.000000000E0
8.318401246E2,5.000000000E0
8.875364051E2,0.000000000E0
8.878705408E2,5.000000000E0
8.898949663E2,0.000000000E0
8.910919539E2,5.000000000E0
9.603539716E2,0.000000000E0
9.606876015E2,5.000000000E0
9.614362546E2,0.000000000E0
9.616627498E2,5.000000000E0
9.634364202E2,0.000000000E0
9.643129962E2,5.000000000E0
9.649920863E2,0.000000000E0
9.660816653E2,5.000000000E0
1.042032264E3,0.000000000E0
1.042909236E3,5.000000000E0
1.460126482E3,0.000000000E0
1.460567830E3,5.000000000E0
1.472655278E3,0.000000000E0
1.472990638E3,5.000000000E0
1.974654916E3,5.000000000E0
